INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,ENGLAND,293770,5545,93957,94605,1.8875,31.9832,32.2038
I00721,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2082,174,992,1076,8.3573,47.6465,51.6811
I00721,RCF,AIREDALE NHS FOUNDATION TRUST,1053,0,296,296,0,28.1102,28.1102
I00721,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1757,14,838,838,0.7968,47.6949,47.6949
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3294,0,1349,1349,0,40.9532,40.9532
I00721,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1505,0,320,320,0,21.2625,21.2625
I00721,R1H,BARTS HEALTH NHS TRUST,3777,356,1455,1468,9.4255,38.5226,38.8668
I00721,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2269,401,521,719,17.673,22.9617,31.688
I00721,RC1,BEDFORD HOSPITAL NHS TRUST,1194,0,320,320,0,26.8007,26.8007
I00721,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2445,6,612,614,0.2454,25.0307,25.1125
I00721,RMC,BOLTON NHS FOUNDATION TRUST,1726,0,532,532,0,30.8227,30.8227
I00721,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1846,0,524,524,0,28.3857,28.3857
I00721,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2430,1,528,528,0.0412,21.7284,21.7284
I00721,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1658,148,750,755,8.9264,45.2352,45.5368
I00721,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1326,1,444,444,0.0754,33.4842,33.4842
I00721,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2507,0,819,819,0,32.6685,32.6685
