INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,2294.908,2480.624,2242.908,2922.982,2930.125,2920.982,678.074,25,0,963.802,25,0,499.571,25,0,85.572,12.974,1.454,3062720,0.726,0.737,0.051,0.863
I00699,2,104776.627,105027.252,104724.627,122369.842,122379.481,122367.842,17643.215,25,0,16418.055,25,0,12089.564,25,0,75.224,23.869,0.907,2280065112,0.514,0.518,0.182,0.757
I00699,3,3598.685,3782.842,3546.685,4635.509,4642.592,4633.509,1086.824,25,0,1115.633,25,0,418.411,25,0,84.439,14.814,0.747,5292595,0.696,0.701,0.095,0.848
I00699,4,2987.11,3170.139,2935.11,3486,3493.04,3484,548.89,25,0,507.389,25,0,277.683,25,0,79.893,18.928,1.18,3553325,0.61,0.617,0.061,0.805
I00699,5,2480.408,2529.824,2466.408,2670.841,2677.901,2668.841,202.434,6,0,213.117,6,0,185.51,6,0,66.77,22.544,10.685,2569590,0.442,0.495,0.031,0.721
I00699,6,6435.246,6710.794,6383.246,9769.193,9779.791,9767.193,3383.947,25,0,12476.634,25,0,1982.13,25,0,90.458,2.536,7.006,204324764,0.879,0.945,0.004,0.94
I00699,7,14002.469,14228.296,13950.469,18939.269,18947.954,18937.269,4986.799,25,0,6087.884,25,0,3575.454,25,0,86.022,12.59,1.388,101506980,0.734,0.745,0.078,0.867
I00699,8,23204.191,23379.74,23162.191,28942.095,28950.455,28940.095,5777.904,20,0,5284.002,20,0,3916.105,20,0,80.133,18.749,1.117,141604848,0.614,0.621,0.175,0.807
I00699,9,16424.979,16616.74,16376.979,20657.701,20665.691,20655.701,4278.722,23,0,3886.912,23,0,2841.393,23,0,80.555,18.726,0.719,70636407,0.618,0.623,0.184,0.809
I00699,10,35598.525,35819.19,35550.525,48042.108,48051.303,48040.108,12489.584,23,0,12402.897,23,0,8065.295,23,0,85.117,13.943,0.941,486030204,0.712,0.718,0.131,0.856
I00699,11,19631.632,19826.099,19587.632,27536.924,27545.763,27534.924,7947.292,21,0,9120.635,21,0,5413.861,21,0,87.055,12.115,0.83,183564616,0.749,0.756,0.106,0.875
I00699,12,13898.118,14101.287,13846.118,18627.397,18635.211,18625.397,4779.279,25,0,4293.699,25,0,2878.825,25,0,82.843,16.419,0.738,54801675,0.664,0.669,0.218,0.832
I00699,13,23538.993,23740.34,23488.993,28364.553,28372.607,28362.553,4873.559,24,0,4203.587,24,0,3339.665,24,0,76.913,22.344,0.743,113268936,0.546,0.55,0.229,0.773
I00699,14,10119.464,10316.45,10067.464,12845.967,12853.543,12843.967,2776.502,25,0,2533.485,25,0,1792.824,25,0,81.511,17.571,0.918,28432491,0.639,0.645,0.175,0.82
I00699,15,81824.602,82058.867,81774.602,102927.462,102936.833,102925.462,21150.861,24,0,17506.129,24,0,11990.271,24,0,78.288,20.713,0.999,1517981440,0.576,0.582,0.232,0.788
I00699,16,4392.558,4547.49,4346.558,5547.92,5554.656,5545.92,1199.362,22,0,1102.162,22,0,748.768,22,0,81.294,17.698,1.008,5299708,0.636,0.642,0.174,0.818
I00699,17,5014.379,5222.746,4964.379,8998.738,9007.073,8996.738,4032.359,24,0,6431.58,24,0,2172.584,24,0,92.192,4.958,2.85,30528630,0.872,0.898,0.056,0.936
I00699,18,18585.969,18819.683,18537.969,36490.226,36499.964,36488.226,17950.257,23,0,28870.196,23,0,7044.436,23,0,94.908,3.8,1.292,503400229,0.911,0.923,0.058,0.956
I00699,19,5343.21,5520.571,5299.21,9307.574,9315.636,9305.574,4006.364,21,0,5863.385,21,0,2111.824,21,0,93.002,5.618,1.38,26088720,0.874,0.886,0.083,0.937
I00699,20,4621.596,4825.755,4569.596,7457.197,7465.05,7455.197,2885.602,25,0,3615.031,25,0,1532.141,25,0,92.282,6.785,0.933,16892645,0.855,0.863,0.08,0.927
I00699,21,12715.153,12926.069,12663.153,17164.474,17172.586,17162.474,4499.321,25,0,4346.755,25,0,2667.276,25,0,85.013,13.817,1.17,59836210,0.712,0.72,0.14,0.856
I00699,22,21252.917,21489.976,21200.917,34884.304,34893.422,34882.304,13681.387,25,0,14476.489,25,0,5256.056,25,0,91.479,7.382,1.139,303350730,0.841,0.851,0.112,0.92
I00699,23,18028.569,18265.009,17978.569,29780.66,29790.117,29778.66,11800.091,24,0,19931.086,24,0,7615.326,24,0,91.066,6.529,2.405,316627308,0.845,0.866,0.06,0.923
I00699,24,10977.857,11194.073,10925.857,16709.432,16717.748,16707.432,5781.575,25,0,6207.493,25,0,3099.712,25,0,89.758,9.392,0.85,66469147,0.804,0.811,0.117,0.902
I00699,25,16966.672,17179.56,16914.672,19672.616,19680.804,19670.616,2755.943,25,0,2579.069,25,0,1878.415,25,0,76.078,23.146,0.776,75447081,0.529,0.533,0.113,0.765
I00699,26,25686.55,25921.059,25634.55,32060.687,32069.707,32058.687,6424.138,25,0,6750.702,25,0,4618.855,25,0,82.39,16.754,0.856,253781992,0.656,0.662,0.089,0.828
I00699,27,31518.208,31752.924,31466.208,36598.776,36607.804,36596.776,5130.568,25,0,4929.076,25,0,3747.568,25,0,77.689,21.544,0.767,303233744,0.561,0.566,0.09,0.781
I00699,28,13252.423,13441.379,13206.423,15343.632,15351.848,15341.632,2135.21,22,0,2232.305,22,0,1751.553,22,0,77.548,21.573,0.879,55453920,0.56,0.565,0.083,0.78
I00699,29,5634.096,5824.999,5582.096,8354.994,8362.336,8352.994,2770.898,25,0,2509.742,25,0,1415.802,25,0,88.136,11.303,0.561,13705472,0.768,0.773,0.162,0.884
I00699,30,93809.734,94061.516,93757.734,111804.843,111814.527,111802.843,18045.109,25,0,15421.643,25,0,10869.05,25,0,76.314,22.761,0.925,2076379442,0.536,0.541,0.158,0.768
I00699,31,21112.354,21338.203,21060.354,36571.894,36580.58,36569.894,15509.54,25,0,14543.841,25,0,6338.557,25,0,91.583,8.053,0.364,240408998,0.835,0.838,0.21,0.918
I00699,32,10490.125,10724.931,10438.125,14236.551,14245.582,14234.551,3796.426,25,0,4514.324,25,0,2304.599,25,0,88.628,9.968,1.404,91326872,0.787,0.798,0.038,0.893
I00699,33,5798.481,6058.008,5746.481,7946.215,7956.197,7944.215,2197.735,25,0,4662.142,25,0,1844.389,25,0,85.626,5.627,8.747,96166464,0.8,0.877,0.006,0.9
I00699,34,6918.445,7150.459,6866.445,8507.674,8516.597,8505.674,1639.229,25,0,2025.509,25,0,801.791,25,0,85.556,12.368,2.076,44598480,0.732,0.747,0.021,0.866
I00699,35,14952.89,15193.077,14900.89,19462.752,19471.99,19460.752,4559.862,25,0,6319.589,25,0,2741.369,25,0,86.965,11.817,1.218,157616375,0.751,0.761,0.041,0.876
I00699,36,17810.921,18056.447,17758.921,22264.539,22273.983,22262.539,4503.619,25,0,4701.862,25,0,1781.446,25,0,85.088,13.583,1.329,217571508,0.715,0.725,0.036,0.858
