INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,53,23178.079,23473.921,23120.079,28088.997,28099.199,28086.997,4966.9179,28,0,6180.8791,28,0,3265.6081,28,0,84.863,12.936,2.2,518975986,0.719,0.735,0.019,0.859635419
I00699,54,16902.831,17158.724,16844.831,19022.401,19031.225,19020.401,2175.5695,28,0,2155.4519,28,0,1641.5317,28,0,76.135,22.452,1.413,112777736,0.537,0.545,0.048,0.76841492
I00699,55,10646.964,10893.154,10588.964,12479.342,12487.831,12477.342,1888.3779,28,0,2104.178,28,0,1512.2195,28,0,79.883,18.643,1.474,51710856,0.612,0.622,0.049,0.806197184
I00699,56,10587.397,10844.254,10529.397,13385.591,13394.448,13383.591,2854.1946,28,0,3079.5325,28,0,1893.5072,28,0,85.738,13.043,1.218,74186943,0.727,0.736,0.04,0.86347448
I00699,57,116461.337,116748.906,116405.337,132326.042,132336.312,132324.042,15918.7055,27,0,16404.8438,27,0,12831.9911,27,0,75.473,23.393,1.135,3849763512,0.521,0.527,0.088,0.760400925
I00699,58,59561.936,59877.686,59503.936,67144.572,67155.46,67142.572,7638.6364,28,0,9111.5422,28,0,6640.7782,28,0,77.509,19.424,3.066,2567926509,0.581,0.599,0.019,0.790424742
I00699,59,23901.405,24233.348,23843.405,27214.249,27225.695,27212.249,3368.8442,28,0,4909.934,28,0,2887.8611,28,0,75.812,11.391,12.797,1368985548,0.644,0.739,0.004,0.822102554
I00699,60,36434.461,36703.531,36376.461,40707.437,40716.715,40705.437,4328.9761,28,0,4530.0498,28,0,3618.1519,28,0,74.628,24.069,1.303,414902100,0.506,0.512,0.067,0.752793112
I00699,61,1966.96,2151.221,1910.96,2138.527,2145.108,2136.527,225.567,27,0,212.34,27,0,149.6111,27,0,74.961,23.409,1.629,1365660,0.516,0.524,0.05,0.757761449
I00699,62,10619.583,10872.937,10561.583,12293.647,12302.383,12291.647,1730.064,28,0,1707.5002,28,0,1127.6837,28,0,79.822,18.528,1.65,60922680,0.613,0.623,0.035,0.806469397
I00699,63,49407.913,49720.184,49349.913,58544.887,58555.655,58542.887,9192.9748,28,0,10887.1261,28,0,6576.4759,28,0,82.57,15.116,2.313,1978309242,0.675,0.691,0.022,0.837269164
I00699,64,17387.69,17605.866,17329.69,18789.157,18796.68,18787.157,1457.4675,28,0,1376.8075,28,0,1217.1425,28,0,67.841,31.295,0.864,46170000,0.365,0.369,0.18,0.682729467
I00699,65,157487.612,157781.506,157429.612,165605.668,165615.803,165603.668,8174.0559,28,0,7734.8598,28,0,7137.0945,28,0,65.043,33.49,1.467,4730354748,0.316,0.32,0.086,0.657765745
I00699,66,254309.329,254616.086,254251.329,274458.629,274469.207,274456.629,20205.2995,28,0,20659.286,28,0,18410.5591,28,0,68.764,30.128,1.107,12478775400,0.386,0.391,0.115,0.693178146
I00699,67,17305.094,17581.509,17247.094,18858.003,18867.534,18856.003,1608.9087,28,0,1794.4815,28,0,1394.7211,28,0,73.695,22.609,3.697,189467785,0.511,0.53,0.019,0.755429848
I00699,68,34047.157,34307.896,33989.157,45838.322,45847.313,45836.322,11847.1654,28,0,10642.4609,28,0,6356.8382,28,0,84.728,14.605,0.668,398015670,0.701,0.706,0.159,0.850614497
I00699,69,26080.442,26331.85,26022.442,34157.737,34166.406,34155.737,8133.2946,28,0,7785.8672,28,0,5152.9501,28,0,83.428,15.92,0.651,216959136,0.675,0.68,0.158,0.837539351
I00699,70,11123.423,11356.693,11067.423,13884.782,13893.113,13882.782,2815.3597,27,0,2646.4101,27,0,1744.8102,27,0,83.479,15.622,0.899,52861887,0.679,0.685,0.076,0.839282884
I00699,71,24484.002,24761.001,24426.002,26770.499,26780.05,26768.499,2342.4966,28,0,2136.7459,28,0,1685.8979,28,0,73.638,23.975,2.388,297079233,0.497,0.509,0.027,0.748316448
I00699,72,20010.185,20292.58,19952.185,24528.124,24537.861,24526.124,4573.9388,28,0,5340.4194,28,0,2914.3965,28,0,84.673,13.248,2.079,306900211,0.714,0.729,0.028,0.857123691
I00699,73,501439.392,501764.367,501381.392,575646.434,575657.64,575644.434,74263.0417,28,0,64558.0044,28,0,44586.7043,28,0,73.288,25.744,0.968,51045776727,0.475,0.48,0.164,0.737719195
I00699,74,114302.98,114617.603,114244.98,146276.478,146287.327,146274.478,32029.498,28,0,33432.6158,28,0,12683.0112,28,0,84.591,14.363,1.046,6598796434,0.702,0.71,0.064,0.851137573
I00699,75,184835.933,185150.652,184777.933,195074.346,195085.198,195072.346,10294.4131,28,0,10255.1768,28,0,8838.9259,28,0,66.854,31.218,1.928,9576383306,0.356,0.363,0.047,0.67817733
I00699,76,8040.754,8333.736,7982.754,10666.526,10676.628,10664.526,2681.772,28,0,6726.5045,28,0,1850.3751,28,0,87.414,6.703,5.883,150279165,0.807,0.858,0.007,0.903556178
I00699,77,48698.011,48938.033,48642.011,53598.162,53606.734,53596.162,4954.151,27,0,4485.362,27,0,3642.2845,27,0,68.141,30.339,1.52,375890536,0.378,0.384,0.187,0.689014336
I00699,78,51238.481,51514.568,51180.481,60172.588,60182.109,60170.588,8990.1074,28,0,8509.6296,28,0,5762.0044,28,0,78.034,20.828,1.137,817156728,0.572,0.579,0.092,0.786031481
I00699,79,28607.299,28835.867,28551.299,31085.67,31093.833,31083.67,2532.371,27,0,2424.3767,27,0,2135.6148,27,0,68.787,30.328,0.885,137565600,0.385,0.388,0.157,0.692292957
I00699,80,3285.422,3451.391,3231.422,3865.03,3871.177,3863.03,631.6081,26,0,573.906,26,0,426.4271,26,0,76.667,22.534,0.798,2219546,0.541,0.546,0.202,0.770662784
I00699,81,35284.393,35561.6,35226.393,43935.234,43944.793,43933.234,8706.8404,28,0,7942.0521,28,0,3586.6592,28,0,82.881,16.232,0.887,558879594,0.666,0.672,0.068,0.833244883
I00699,82,44031.789,44367.588,43973.789,59303.838,59315.417,59301.838,15328.0488,28,0,27834.024,28,0,8424.3394,28,0,89.675,6.585,3.74,3824018528,0.831,0.863,0.01,0.915451362
I00699,83,40069.173,40370.183,40011.173,55908.577,55918.956,55906.577,15895.4036,28,0,21013.388,28,0,5444.4244,28,0,90.095,8.885,1.02,1388291078,0.812,0.82,0.04,0.906051269
I00699,84,13264.871,13539.598,13206.871,15789.247,15798.72,15787.247,2580.3757,28,0,3284.6232,28,0,1811.251,28,0,83.672,14.299,2.029,145648580,0.694,0.708,0.022,0.846867089
I00699,85,7164.78,7390.743,7106.78,8645.089,8652.881,8643.089,1536.3085,28,0,1527.2149,28,0,815.4329,28,0,81.342,17.814,0.844,19558890,0.635,0.641,0.078,0.817636609
I00699,86,8640.771,8910.32,8582.771,10447.295,10456.59,10445.295,1862.5238,28,0,2412.0832,28,0,1128.9821,28,0,84.753,12.605,2.642,76578232,0.721,0.741,0.017,0.860736417
I00699,87,16934.656,17227.449,16876.656,23506.899,23516.995,23504.899,6628.2432,28,0,8882.4963,28,0,3776.6828,28,0,89.914,7.343,2.744,384880612,0.826,0.849,0.02,0.91285335
I00699,88,4428.604,4691.28,4370.604,6014.668,6023.726,6012.668,1642.0642,28,0,3440.6448,28,0,1036.7787,28,0,89.853,7.005,3.142,32592042,0.828,0.855,0.013,0.914235444
