INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,0,,,0,
I00699,1,ADMIMETH_2,-11.3004,5813.2201,0,1,0.9984
I00699,1,ADMIMETH_3,1.5109,0.3277,21.2596,1,0
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.3685,0.1632,5.0973,1,0.024
I00699,1,CHARLSON_INDEX_3,0.918,0.1544,35.3302,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.3758,0.1279,8.634,1,0.0033
I00699,1,Intercept,-18.3803,722.6802,0.0006,1,0.9797
I00699,1,STARTAGE_1,0,,,0,
I00699,1,STARTAGE_10,12.1532,722.6802,0.0003,1,0.9866
I00699,1,STARTAGE_11,13.1102,722.6801,0.0003,1,0.9855
I00699,1,STARTAGE_12,13.5769,722.6801,0.0004,1,0.985
I00699,1,STARTAGE_13,13.6214,722.6801,0.0004,1,0.985
I00699,1,STARTAGE_14,14.1078,722.6801,0.0004,1,0.9844
I00699,1,STARTAGE_15,14.4945,722.6801,0.0004,1,0.984
I00699,1,STARTAGE_16,14.775,722.6801,0.0004,1,0.9837
I00699,1,STARTAGE_17,14.5751,722.6801,0.0004,1,0.9839
I00699,1,STARTAGE_18,15.1441,722.6801,0.0004,1,0.9833
I00699,1,STARTAGE_19,15.4979,722.6801,0.0005,1,0.9829
I00699,1,STARTAGE_2,12.3021,722.6808,0.0003,1,0.9864
I00699,1,STARTAGE_20,15.4409,722.6802,0.0005,1,0.983
I00699,1,STARTAGE_21,13.3936,722.6802,0.0003,1,0.9852
I00699,1,STARTAGE_3,-0.3709,1037.4731,0,1,0.9997
I00699,1,STARTAGE_4,-0.5748,880.9755,0,1,0.9995
I00699,1,STARTAGE_5,11.4916,722.6804,0.0003,1,0.9873
I00699,1,STARTAGE_6,11.9462,722.6802,0.0003,1,0.9868
I00699,1,STARTAGE_7,11.7781,722.6802,0.0003,1,0.987
I00699,1,STARTAGE_8,11.5173,722.6803,0.0003,1,0.9873
I00699,1,STARTAGE_9,11.9888,722.6802,0.0003,1,0.9868
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,-0.051,0.1476,0.1195,1,0.7296
I00699,1,YEAR_INDEX_3,-0.1059,0.1473,0.5169,1,0.4722
I00699,2,ADMIMETH_1,0,,,0,
I00699,2,ADMIMETH_2,0.1943,0.7269,0.0714,1,0.7893
I00699,2,ADMIMETH_3,0.6033,0.058,108.2198,1,0
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.1062,0.0312,11.5686,1,0.0007
I00699,2,CHARLSON_INDEX_3,0.4602,0.0217,448.9383,1,0
I00699,2,GENDER_1,0,,,0,
I00699,2,GENDER_2,0.0639,0.0161,15.7006,1,0.0001
I00699,2,GENDER_3,-7.6344,56.9964,0.0179,1,0.8934
I00699,2,Intercept,-5.8701,0.1985,874.5267,1,0
I00699,2,STARTAGE_1,0,,,0,
I00699,2,STARTAGE_10,2.3724,0.2036,135.789,1,0
I00699,2,STARTAGE_11,2.5411,0.1988,163.4078,1,0
I00699,2,STARTAGE_12,2.7483,0.1962,196.2795,1,0
I00699,2,STARTAGE_13,2.9236,0.1945,225.8873,1,0
I00699,2,STARTAGE_14,3.2157,0.1928,278.1632,1,0
I00699,2,STARTAGE_15,3.3012,0.1923,294.6829,1,0
I00699,2,STARTAGE_16,3.5695,0.1919,345.8145,1,0
I00699,2,STARTAGE_17,3.9206,0.1915,418.9544,1,0
I00699,2,STARTAGE_18,4.3214,0.1914,509.9974,1,0
I00699,2,STARTAGE_19,4.6551,0.1914,591.4834,1,0
I00699,2,STARTAGE_2,1.0886,0.2403,20.5299,1,0
I00699,2,STARTAGE_20,5.0519,0.1917,694.473,1,0
I00699,2,STARTAGE_21,2.8558,0.2431,137.9707,1,0
I00699,2,STARTAGE_3,1.1578,0.2912,15.8071,1,0.0001
I00699,2,STARTAGE_4,1.0955,0.3484,9.8869,1,0.0017
I00699,2,STARTAGE_5,1.475,0.2783,28.089,1,0
I00699,2,STARTAGE_6,1.5351,0.2617,34.4178,1,0
I00699,2,STARTAGE_7,1.7805,0.2407,54.7216,1,0
I00699,2,STARTAGE_8,1.8302,0.231,62.7707,1,0
I00699,2,STARTAGE_9,2.2296,0.2123,110.2855,1,0
