INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1871.0198,2047.8346,1819.0198,2329.096,2335.8965,2327.096,508.0761,25,0,696.1705,25,0,358.4513,25,0,85.4361,14.2754,0.2885,1786317,0.7116,0.7137,0.0577,0.8558
I00699,2,176953.0412,177218.4348,176901.0412,202870.3408,202880.5482,202868.3408,25967.2996,25,0,23793.1239,25,0,17120.5116,25,0,73.8823,25.2678,0.85,6523293294,0.4861,0.4903,0.1581,0.7431
I00699,3,4375.1414,4567.6265,4323.1414,5602.2021,5609.6053,5600.2021,1277.0607,25,0,1323.0896,25,0,505.6899,25,0,84.7324,14.8396,0.428,8480335,0.6989,0.7019,0.0806,0.8495
I00699,4,3005.9868,3193.8248,2953.9868,3549.2763,3556.5009,3547.2763,593.2896,25,0,568.4781,25,0,284.9154,25,0,81.5084,18.1266,0.365,4158020,0.6338,0.6361,0.0512,0.8169
I00699,5,1511.1702,1559.0431,1497.1702,1762.9994,1769.8384,1760.9994,263.8293,6,0,210.0716,6,0,99.3135,6,0,77.7754,17.3492,4.8754,1294065,0.6043,0.6352,0.0329,0.8021
I00699,6,7527.2379,7807.6948,7475.2379,11424.6886,11435.4754,11422.6886,3947.4507,25,0,14330.4718,25,0,2054.6757,25,0,96.207,3.6539,0.1391,287115325,0.9255,0.9268,0.0042,0.9628
I00699,7,13050.793,13275.4823,12998.793,17521.7786,17530.4205,17519.7786,4520.9856,25,0,5354.3085,25,0,3136.3837,25,0,86.5136,13.2257,0.2607,89029792,0.7329,0.7348,0.0745,0.8664
I00699,8,21784.666,21957.9838,21742.666,26869.5857,26877.8389,26867.5857,5124.9197,20,0,4557.1075,20,0,3438.1074,20,0,79.6031,19.9382,0.4588,119531288,0.5966,0.5994,0.1772,0.7983
I00699,9,14368.4141,14540.6955,14324.4141,18225.4538,18233.2848,18223.4538,3899.0397,21,0,3437.8228,21,0,2448.7363,21,0,80.7933,18.7579,0.4488,53786620,0.6204,0.6232,0.1929,0.8102
I00699,10,32954.4355,33175.6254,32906.4355,46292.9055,46302.1217,46290.9055,13384.47,23,0,13283.8434,23,0,7686.0792,23,0,87.1288,12.5567,0.3146,469907927,0.7457,0.7481,0.1269,0.8729
I00699,11,17421.3408,17614.7556,17377.3408,25375.374,25384.1656,25373.374,7996.0332,21,0,8877.4313,21,0,4792.9612,21,0,88.6382,11.1002,0.2616,159630856,0.7754,0.7774,0.1048,0.8877
I00699,12,14626.2601,14832.4928,14574.2601,19909.1246,19917.0567,19907.1246,5332.8646,25,0,4816.4343,25,0,3109.1781,25,0,83.9321,15.6878,0.3802,64715170,0.6824,0.685,0.2086,0.8412
I00699,13,24495.21,24698.8748,24445.21,30216.8628,30225.0094,30214.8628,5769.6528,24,0,4900.5081,24,0,3742.331,24,0,78.314,21.1355,0.5505,130950375,0.5718,0.575,0.2302,0.7859
I00699,14,9881.3925,10079.1246,9829.3925,12791.6778,12799.2829,12789.6778,2960.2853,25,0,2679.7683,25,0,1828.0904,25,0,82.6985,16.9144,0.3871,28811271,0.6578,0.6604,0.1721,0.8289
I00699,15,73793.9244,74036.2887,73741.9244,95592.533,95601.8547,95590.533,21848.6086,25,0,17894.135,25,0,11536.1312,25,0,79.9807,19.4405,0.5788,1330151004,0.6054,0.6089,0.2361,0.8027
I00699,16,4088.2406,4254.2789,4038.2406,5127.692,5134.3335,5125.692,1087.4513,24,0,948.4348,24,0,601.7982,24,0,80.6292,18.8176,0.5531,4480161,0.6181,0.6216,0.1728,0.8091
