INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,"ENGLAND",291036,207492,83544,71.2943,28.7057
I00733,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2136,1611,525,75.4213,24.5787
I00733,RCF,"AIREDALE NHS FOUNDATION TRUST",1049,684,365,65.2050,34.7950
I00733,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1754,1252,502,71.3797,28.6203
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3287,2443,844,74.3231,25.6769
I00733,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1451,947,504,65.2653,34.7347
I00733,R1H,"BARTS HEALTH NHS TRUST",3711,2892,819,77.9305,22.0695
I00733,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2148,1651,497,76.8622,23.1378
I00733,RC1,"BEDFORD HOSPITAL NHS TRUST",1188,812,376,68.3502,31.6498
I00733,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2388,1711,677,71.6499,28.3501
I00733,RMC,"BOLTON NHS FOUNDATION TRUST",1716,1206,510,70.2797,29.7203
I00733,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1877,1241,636,66.1161,33.8839
I00733,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2454,1687,767,68.7449,31.2551
I00733,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1547,1153,394,74.5314,25.4686
I00733,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1299,962,337,74.0570,25.9430
I00733,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2294,1593,701,69.4420,30.5580
I00733,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2197,1482,715,67.4556,32.5444
I00733,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1739,1391,348,79.9885,20.0115
I00733,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1560,1195,365,76.6026,23.3974
I00733,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1860,1250,610,67.2043,32.7957
I00733,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2097,1550,547,73.9151,26.0849
I00733,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2313,1645,668,71.1198,28.8802
I00733,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1540,1134,406,73.6364,26.3636
I00733,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3063,2043,1020,66.6993,33.3007
I00733,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1277,964,313,75.4894,24.5106
I00733,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1453,1008,445,69.3737,30.6263
I00733,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3323,2358,965,70.9600,29.0400
I00733,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2900,1941,959,66.9310,33.0690
I00733,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1190,785,405,65.9664,34.0336
I00733,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2381,1646,735,69.1306,30.8694
