INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1525,0,375,375,0,25,25
I00721,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",2110,0,535,535,0,25,25
I00721,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2950,*,915,915,*,31,31
I00721,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1310,0,600,600,0,46,46
I00721,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3460,*,1560,1560,*,45,45
I00721,RVJ,"NORTH BRISTOL NHS TRUST",2380,0,685,685,0,29,29
I00721,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",1815,0,640,640,0,35,35
I00721,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1345,0,320,320,0,24,24
I00721,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",2095,*,770,770,*,37,37
I00721,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2885,0,1030,1030,0,36,36
I00721,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",1970,0,815,815,0,41,41
I00721,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1005,0,290,290,0,29,29
I00721,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",2480,0,485,485,0,20,20
I00721,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",3140,635,1260,1310,20,40,42
I00721,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4500,325,1490,1495,7,33,33
I00721,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3145,280,1465,1465,9,47,47
I00721,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",3805,20,925,925,1,24,24
I00721,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1625,250,455,480,15,28,30
I00721,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3025,0,900,900,0,30,30
I00721,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",2025,0,1040,1040,0,51,51
I00721,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",2445,*,680,680,*,28,28
I00721,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",2215,0,605,605,0,27,27
I00721,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2820,0,1085,1085,0,38,38
I00721,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",2025,290,975,1005,14,48,50
I00721,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1180,75,700,705,6,59,60
I00721,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",1950,0,545,545,0,28,28
I00721,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",1805,0,850,850,0,47,47
I00721,RNZ,"SALISBURY NHS FOUNDATION TRUST",1025,155,480,490,15,47,48
I00721,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",2100,0,465,465,0,22,22
I00721,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3590,270,1020,1080,8,28,30
I00721,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",1950,0,305,305,0,16,16
I00721,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",2765,0,810,810,0,29,29
I00721,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",2685,*,770,770,*,29,29
I00721,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",3230,55,775,780,2,24,24
I00721,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",1225,0,245,245,0,20,20
I00721,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2380,65,705,710,3,30,30
I00721,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",1430,0,380,380,0,27,27
I00721,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2030,0,1020,1020,0,50,50
I00721,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",2360,0,870,870,0,37,37
I00721,RWJ,"STOCKPORT NHS FOUNDATION TRUST",1845,0,530,530,0,29,29
I00721,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",1930,0,815,815,0,42,42
I00721,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",1565,0,305,305,0,19,19
I00721,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",1920,0,610,610,0,32,32
I00721,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",2490,0,610,610,0,24,24
I00721,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",1090,0,455,455,0,42,42
I00721,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",2615,0,845,845,0,32,32
I00721,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",1625,*,415,415,*,26,26
I00721,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1750,*,265,265,*,15,15
