INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,"ENGLAND",292307,5458,90145,90793,1.8672,30.8392,31.0608
I00721,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2063,168,1053,1119,8.1435,51.0422,54.2414
I00721,RCF,"AIREDALE NHS FOUNDATION TRUST",1064,0,316,316,0.0000,29.6992,29.6992
I00721,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1862,6,868,868,0.3222,46.6165,46.6165
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3296,0,1084,1084,0.0000,32.8883,32.8883
I00721,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1470,0,329,329,0.0000,22.3810,22.3810
I00721,R1H,"BARTS HEALTH NHS TRUST",3725,345,1458,1461,9.2617,39.1409,39.2215
I00721,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2224,413,448,657,18.5701,20.1439,29.5414
I00721,RC1,"BEDFORD HOSPITAL NHS TRUST",1167,0,305,305,0.0000,26.1354,26.1354
I00721,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2439,7,556,558,0.2870,22.7962,22.8782
I00721,RMC,"BOLTON NHS FOUNDATION TRUST",1760,0,529,529,0.0000,30.0568,30.0568
I00721,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1802,0,569,569,0.0000,31.5760,31.5760
I00721,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2500,1,576,576,0.0400,23.0400,23.0400
I00721,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1572,146,683,687,9.2875,43.4478,43.7023
I00721,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1307,0,410,410,0.0000,31.3695,31.3695
I00721,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2358,0,714,714,0.0000,30.2799,30.2799
I00721,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2285,0,732,732,0.0000,32.0350,32.0350
I00721,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1597,29,666,666,1.8159,41.7032,41.7032
I00721,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1930,0,455,455,0.0000,23.5751,23.5751
I00721,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2109,0,321,321,0.0000,15.2205,15.2205
I00721,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2314,0,627,627,0.0000,27.0959,27.0959
I00721,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1550,0,601,601,0.0000,38.7742,38.7742
I00721,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3008,0,959,959,0.0000,31.8816,31.8816
I00721,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1282,0,413,413,0.0000,32.2153,32.2153
I00721,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1543,0,729,729,0.0000,47.2456,47.2456
I00721,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3279,353,665,694,10.7655,20.2806,21.1650
I00721,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2822,0,1242,1242,0.0000,44.0113,44.0113
