INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,ENGLAND,293770,208522,85248,70.9814,29.0186
I00733,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2082,1587,495,76.2248,23.7752
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,1053,681,372,64.6724,35.3276
I00733,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1757,1259,498,71.6562,28.3438
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3294,2404,890,72.9812,27.0188
I00733,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1505,1020,485,67.7741,32.2259
I00733,R1H,BARTS HEALTH NHS TRUST,3777,2945,832,77.9719,22.0281
I00733,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2269,1652,617,72.8074,27.1926
I00733,RC1,BEDFORD HOSPITAL NHS TRUST,1194,813,381,68.0905,31.9095
I00733,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2445,1797,648,73.4969,26.5031
I00733,RMC,BOLTON NHS FOUNDATION TRUST,1726,1221,505,70.7416,29.2584
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1846,1197,649,64.8429,35.1571
I00733,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2430,1676,754,68.9712,31.0288
I00733,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1658,1226,432,73.9445,26.0555
I00733,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1326,940,386,70.8899,29.1101
I00733,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2507,1698,809,67.7304,32.2696
I00733,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2338,1645,693,70.3593,29.6407
I00733,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1621,1224,397,75.5089,24.4911
I00733,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1946,1334,612,68.5509,31.4491
I00733,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,1976,1474,502,74.5951,25.4049
I00733,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2473,1743,730,70.4812,29.5188
I00733,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1462,1056,406,72.2298,27.7702
I00733,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3005,1981,1024,65.9235,34.0765
I00733,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1261,928,333,73.5924,26.4076
I00733,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1570,1149,421,73.1847,26.8153
I00733,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,3162,2283,879,72.2011,27.7989
I00733,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2831,1862,969,65.7718,34.2282
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1132,749,383,66.1661,33.8339
I00733,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2510,1742,768,69.4024,30.5976
I00733,RJN,EAST CHESHIRE NHS TRUST,926,638,288,68.8985,31.1015
I00733,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,4164,2738,1426,65.7541,34.2459
I00733,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2711,1872,839,69.052,30.948
I00733,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2633,1802,831,68.439,31.561
I00733,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1944,1435,509,73.8169,26.1831
I00733,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3525,2567,958,72.8227,27.1773
I00733,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1516,1088,428,71.7678,28.2322
I00733,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1004,715,289,71.2151,28.7849
I00733,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,3019,1904,1115,63.0672,36.9328
I00733,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1818,1314,504,72.2772,27.7228
I00733,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1459,1035,424,70.939,29.061
I00733,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2116,1592,524,75.2363,24.7637
I00733,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,905,650,255,71.8232,28.1768
I00733,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,4624,3300,1324,71.3668,28.6332
I00733,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,569,406,163,71.3533,28.6467
I00733,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,3509,2419,1090,68.937,31.063
I00733,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2237,1680,557,75.1006,24.8994
I00733,RGQ,IPSWICH HOSPITAL NHS TRUST,2037,1416,621,69.514,30.486
I00733,R1F,ISLE OF WIGHT NHS TRUST,971,620,351,63.8517,36.1483
I00733,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1636,1248,388,76.2836,23.7164
I00733,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1738,1253,485,72.0944,27.9056
I00733,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,3199,2426,773,75.8362,24.1638
I00733,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1267,869,398,68.5872,31.4128
I00733,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2350,1680,670,71.4894,28.5106
I00733,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,4116,2934,1182,71.2828,28.7172
I00733,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2424,1815,609,74.8762,25.1238
I00733,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,2550,1918,632,75.2157,24.7843
I00733,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1845,1297,548,70.2981,29.7019
I00733,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2400,1704,696,71,29
I00733,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,3526,2759,767,78.2473,21.7527
I00733,RPA,MEDWAY NHS FOUNDATION TRUST,1897,1359,538,71.6394,28.3606
I00733,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1561,1078,483,69.0583,30.9417
I00733,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,2013,1401,612,69.5976,30.4024
I00733,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,3048,2141,907,70.2428,29.7572
I00733,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1254,877,377,69.9362,30.0638
I00733,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3520,2420,1100,68.75,31.25
I00733,RVJ,NORTH BRISTOL NHS TRUST,2302,1702,600,73.9357,26.0643
I00733,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1903,1253,650,65.8434,34.1566
