INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1532.4378,1779.5472,1458.4378,1924.2869,1930.9655,1922.2869,463.849,36,0,695.6842,36,0,327.8594,36,0,86.4225,13.5535,0.0239,1282323,0.7287,0.7289,0.0541,0.8643
I00699,2,359869.9656,360273.8785,359795.9656,403563.2266,403574.1432,403561.2266,43765.261,36,0,39018.1685,36,0,29048.7795,36,0,72.3494,27.5593,0.0913,26172681192,0.4479,0.4483,0.1415,0.724
I00699,3,5475.2828,5758.6443,5401.2828,6749.4894,6757.1478,6747.4894,1346.2066,36,0,1383.2465,36,0,625.5512,36,0,83.3892,16.5683,0.0425,12930750,0.6682,0.6685,0.0705,0.8341
I00699,4,3184.2813,3453.7122,3110.2813,3725.7532,3733.0351,3723.7532,613.4718,36,0,612.8714,36,0,351.4431,36,0,81.9357,18.0333,0.031,4611712,0.639,0.6392,0.0511,0.8195
I00699,5,1793.6778,1913.8502,1757.6778,1825.7746,1832.4509,1823.7746,66.0968,17,0,69.4757,17,0,65.5994,17,0,65.7026,33.892,0.4054,1197800,0.3181,0.3194,0.0222,0.6591
I00699,6,9120.8338,9523.7889,9046.8338,13821.6433,13832.534,13819.6433,4772.8094,36,0,17271.5558,36,0,2759.6807,36,0,96.2246,3.7613,0.0141,390861692,0.9246,0.9248,0.0046,0.9623
I00699,7,13089.0389,13407.4569,13015.0389,17754.9364,17763.5423,17752.9364,4737.8974,36,0,5441.3707,36,0,3127.3061,36,0,86.9861,12.992,0.0219,88244907,0.7399,0.7401,0.0801,0.87
I00699,8,20985.2525,21254.9936,20919.2525,25525.7069,25533.8809,25523.7069,4604.4544,32,0,4038.8331,32,0,3085.0854,32,0,78.8907,21.0663,0.0431,105930240,0.5782,0.5785,0.1783,0.7891
I00699,9,13701.51,13956.9095,13635.51,17187.4761,17195.2155,17185.4761,3549.9661,32,0,3062.7525,32,0,2178.1778,32,0,80.2484,19.7074,0.0442,46825302,0.6054,0.6057,0.1968,0.8027
I00699,10,32016.9448,32337.7425,31946.9448,44686.5522,44695.7178,44684.5522,12737.6074,34,0,12432.9724,34,0,7197.064,34,0,86.9986,12.9741,0.0273,433284474,0.7402,0.7404,0.1285,0.8701
I00699,11,17241.9463,17530.4048,17175.9463,25454.6562,25463.3973,25452.6562,8276.7099,32,0,8893.5012,32,0,4697.5136,32,0,89.2466,10.7313,0.0221,154718571,0.7852,0.7853,0.1137,0.8926
I00699,12,15052.4276,15347.1954,14978.4276,20435.9192,20443.8858,20433.9192,5455.4915,36,0,4869.9204,36,0,3032.7148,36,0,83.9949,15.9655,0.0397,68565654,0.6803,0.6806,0.2055,0.8401
I00699,13,24604.624,24889.2348,24534.624,30038.4771,30046.6088,30036.4771,5501.8531,34,0,4659.3001,34,0,3612.9212,34,0,77.8893,22.0606,0.0501,128683295,0.5583,0.5586,0.2276,0.7791
I00699,14,10047.1709,10327.5018,9973.1709,12777.8736,12785.4501,12775.8736,2802.7027,36,0,2437.2948,36,0,1702.5771,36,0,82.1005,17.8639,0.0356,28232896,0.6424,0.6426,0.1744,0.8212
I00699,15,69463.7818,69807.0781,69389.7818,90438.6652,90447.9435,90436.6652,21046.8834,36,0,17093.8896,36,0,10706.5339,36,0,80.4303,19.5179,0.0518,1199658300,0.6091,0.6094,0.2337,0.8046
I00699,16,4158.99,4396.0716,4086.99,5175.667,5182.2526,5173.667,1086.677,35,0,929.3679,35,0,603.1399,35,0,80.2643,19.6841,0.0516,4374088,0.6058,0.6061,0.1849,0.8029
