INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,"ENGLAND",292595,207829,84766,71.0296,28.9704
I00733,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2089,1581,508,75.6821,24.3179
I00733,RCF,"AIREDALE NHS FOUNDATION TRUST",1067,702,365,65.7919,34.2081
I00733,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1852,1352,500,73.0022,26.9978
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3300,2418,882,73.2727,26.7273
I00733,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1486,995,491,66.9583,33.0417
I00733,R1H,"BARTS HEALTH NHS TRUST",3715,2896,819,77.9542,22.0458
I00733,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2245,1687,558,75.1448,24.8552
I00733,RC1,"BEDFORD HOSPITAL NHS TRUST",1194,814,380,68.1742,31.8258
I00733,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2444,1794,650,73.4043,26.5957
I00733,RMC,"BOLTON NHS FOUNDATION TRUST",1723,1211,512,70.2844,29.7156
I00733,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1812,1179,633,65.0662,34.9338
I00733,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2473,1708,765,69.0659,30.9341
I00733,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1582,1169,413,73.8938,26.1062
I00733,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1292,925,367,71.5944,28.4056
I00733,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2436,1677,759,68.8424,31.1576
I00733,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2296,1614,682,70.2962,29.7038
I00733,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1600,1207,393,75.4375,24.5625
I00733,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1976,1358,618,68.7247,31.2753
I00733,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2028,1499,529,73.9152,26.0848
