INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,"ENGLAND",7798,1311675,0.5945
I00731,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",55,8025,0.6854
I00731,RCF,"AIREDALE NHS FOUNDATION TRUST",37,3096,1.1951
I00731,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",48,6797,0.7062
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",41,7967,0.5146
I00731,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",26,4089,0.6359
I00731,R1H,"BARTS HEALTH NHS TRUST",126,20090,0.6272
I00731,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",42,5994,0.7007
I00731,RC1,"BEDFORD HOSPITAL NHS TRUST",17,3021,0.5627
I00731,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",51,7713,0.6612
I00731,RMC,"BOLTON NHS FOUNDATION TRUST",33,6665,0.4951
I00731,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",51,9575,0.5326
I00731,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",51,10827,0.4710
I00731,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",25,5926,0.4219
I00731,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",23,3845,0.5982
I00731,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",37,7902,0.4682
I00731,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",84,20994,0.4001
I00731,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",121,19937,0.6069
I00731,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",64,9036,0.7083
I00731,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",20,4480,0.4464
I00731,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",66,12183,0.5417
I00731,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",34,6839,0.4971
I00731,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",47,5027,0.9350
I00731,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",39,8497,0.4590
I00731,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",7,3107,0.2253
I00731,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",48,14208,0.3378
I00731,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",83,13827,0.6003
I00731,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",48,10959,0.4380
I00731,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",27,4308,0.6267
I00731,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",45,10614,0.4240
I00731,RJN,"EAST CHESHIRE NHS TRUST",8,1628,0.4914
I00731,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",91,15731,0.5785
I00731,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",69,10243,0.6736
I00731,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",56,7179,0.7801
I00731,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",57,9638,0.5914
I00731,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",87,17166,0.5068
I00731,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",68,5494,1.2377
I00731,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",7,2300,0.3043
I00731,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",99,13536,0.7314
I00731,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",22,6435,0.3419
I00731,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",169,28040,0.6027
I00731,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",52,9418,0.5521
I00731,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",21,3779,0.5557
I00731,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",100,37600,0.2660
I00731,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",16,2795,0.5725
I00731,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",118,17129,0.6889
I00731,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",109,19126,0.5699
I00731,RGQ,"IPSWICH HOSPITAL NHS TRUST",58,7237,0.8014
I00731,R1F,"ISLE OF WIGHT NHS TRUST",13,2977,0.4367
I00731,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",37,5299,0.6982
I00731,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",26,4815,0.5400
I00731,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",108,22027,0.4903
I00731,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",9,4283,0.2101
I00731,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",81,11333,0.7147
I00731,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",163,27378,0.5954
I00731,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",16,5093,0.3142
I00731,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",43,11674,0.3683
I00731,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",28,9285,0.3016
I00731,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",49,7633,0.6419
I00731,RPA,"MEDWAY NHS FOUNDATION TRUST",17,7324,0.2321
I00731,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",27,3646,0.7405
