INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",1590,1128,462,70.9434,29.0566
I00733,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2403,1683,720,70.0375,29.9625
I00733,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4613,3579,1034,77.5851,22.4149
I00733,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2703,1870,833,69.1824,30.8176
I00733,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",3067,2190,877,71.4053,28.5947
I00733,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2425,1712,713,70.5979,29.4021
I00733,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",2234,1633,601,73.0976,26.9024
I00733,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2402,1728,674,71.9400,28.0600
I00733,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2268,1710,558,75.3968,24.6032
I00733,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",2957,2043,914,69.0903,30.9097
I00733,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1630,1186,444,72.7607,27.2393
I00733,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2698,1977,721,73.2765,26.7235
I00733,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",2551,1666,885,65.3077,34.6923
I00733,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2265,1681,584,74.2163,25.7837
I00733,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",3030,2036,994,67.1947,32.8053
