INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.0043,0.258,15.149,1,0.0001
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-14.0464,1623.4919,0.0001,1,0.9931
I00699,1,AGE_GROUP_10,-0.712,0.5557,1.6415,1,0.2001
I00699,1,AGE_GROUP_11,0.5225,0.3626,2.076,1,0.1496
I00699,1,AGE_GROUP_12,0.9606,0.3469,7.6669,1,0.0056
I00699,1,AGE_GROUP_13,1.108,0.3402,10.609,1,0.0011
I00699,1,AGE_GROUP_14,1.7222,0.3149,29.9117,1,0
I00699,1,AGE_GROUP_15,1.6814,0.3093,29.5449,1,0
I00699,1,AGE_GROUP_16,2.0459,0.3045,45.1555,1,0
I00699,1,AGE_GROUP_17,2.1738,0.3002,52.4396,1,0
I00699,1,AGE_GROUP_18,2.3795,0.3075,59.8835,1,0
I00699,1,AGE_GROUP_19,2.8804,0.326,78.0791,1,0
I00699,1,AGE_GROUP_2,-0.3239,1.0327,0.0984,1,0.7538
I00699,1,AGE_GROUP_20,2.9705,0.4215,49.6724,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,AGE_GROUP_3,-14.1451,1335.2001,0.0001,1,0.9915
I00699,1,AGE_GROUP_4,-14.3167,1022.2244,0.0002,1,0.9888
I00699,1,AGE_GROUP_5,-14.497,624.8186,0.0005,1,0.9815
I00699,1,AGE_GROUP_6,-2.2929,1.0288,4.9673,1,0.0258
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,-0.0689,0.3979,0.03,1,0.8625
I00699,1,AGE_GROUP_9,-0.0844,0.4283,0.0388,1,0.8439
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.4938,0.167,8.7451,1,0.0031
I00699,1,CHARLSON_INDEX_3,1.1141,0.1554,51.385,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.2005,0.1269,2.498,1,0.114
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.3379,0.2636,270.8874,1,0
