INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0,43436,0.0000
I01963,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",88,87044,0.1011
I01963,RVJ,"NORTH BRISTOL NHS TRUST",217,81553,0.2661
I01963,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",6,46798,0.0128
I01963,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",77,45762,0.1683
I01963,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",12,58858,0.0204
I01963,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",200,75962,0.2633
I01963,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",181,70820,0.2556
I01963,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",12,28627,0.0419
I01963,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",14,53658,0.0261
I01963,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",231,68126,0.3391
I01963,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",7,134007,0.0052
I01963,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2,116898,0.0017
I01963,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",33,117378,0.0281
I01963,RK9,"PLYMOUTH HOSPITALS NHS TRUST",40,73199,0.0546
I01963,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1,50902,0.0020
I01963,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",122,80441,0.1517
I01963,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",166,67015,0.2477
I01963,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",215,68373,0.3145
I01963,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",469,61893,0.7578
I01963,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",416,100476,0.4140
I01963,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",92,45883,0.2005
I01963,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",13,47385,0.0274
I01963,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",55,56363,0.0976
I01963,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",169,47751,0.3539
I01963,RNZ,"SALISBURY NHS FOUNDATION TRUST",110,35071,0.3136
I01963,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",4,67301,0.0059
I01963,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",92,115389,0.0797
I01963,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",26,56189,0.0463
I01963,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",0,67425,0.0000
I01963,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",43,88184,0.0488
I01963,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",0,23170,0.0000
I01963,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",0,34693,0.0000
I01963,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",14,54673,0.0256
I01963,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",36,31213,0.1153
I01963,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",221,88498,0.2497
I01963,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",120,74788,0.1605
I01963,RWJ,"STOCKPORT NHS FOUNDATION TRUST",0,58134,0.0000
I01963,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",149,49895,0.2986
I01963,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",14,33830,0.0414
I01963,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",13,56168,0.0231
I01963,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",14,78452,0.0178
I01963,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",115,40752,0.2822
I01963,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",4,102116,0.0039
