INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,61,2055.4912,2230.3206,2003.4912,2285.2099,2291.9341,2283.2099,279.7187,25,0,252.8008,25,0,157.7222,25,0,77.0274,22.4222,0.5504,1649189,0.5461,0.5491,0.0476,0.773
I00699,62,10286.5368,10514.2029,10234.5368,11825.8455,11834.6019,11823.8455,1589.3088,25,0,1584.531,25,0,1101.2419,25,0,79.8035,19.4177,0.7788,58918658,0.6039,0.6086,0.0323,0.8019
I00699,63,47841.094,48122.4609,47789.094,56642.4878,56653.3096,56640.4878,8851.3937,25,0,10604.5734,25,0,6282.1709,25,0,83.5532,15.88,0.5668,1981071301,0.6767,0.6806,0.0196,0.8384
I00699,64,19983.2124,20181.9514,19931.2124,21312.6983,21320.3421,21310.6983,1379.486,25,0,1308.6183,25,0,1167.3863,25,0,66.1657,33.2314,0.6029,59204144,0.3293,0.3313,0.1639,0.6647
I00699,65,175311.3055,175579.0278,175259.3055,183694.4958,183704.7928,183692.4958,8433.1903,25,0,7893.2415,25,0,7265.1234,25,0,64.8377,33.9782,1.1841,6051608119,0.3086,0.3123,0.0778,0.6543
I00699,66,253121.4566,253397.3607,253069.4566,272890.8896,272901.5013,272888.8896,19819.4331,25,0,20342.4112,25,0,18129.5239,25,0,68.8972,30.2619,0.8408,12660210752,0.3864,0.3896,0.1087,0.6932
I00699,67,12605.7625,12851.3892,12553.7625,13746.8383,13756.2855,13744.8383,1191.0758,25,0,1349.3159,25,0,1041.9722,25,0,75.8264,23.3614,0.8122,120493260,0.5246,0.5289,0.0144,0.7623
I00699,68,37761.4974,37997.4791,37709.4974,49095.986,49105.0622,49093.986,11384.4885,25,0,10241.0227,25,0,6470.482,25,0,83.3515,16.2009,0.4476,461694735,0.6715,0.6745,0.1485,0.8358
I00699,69,23984.542,24210.4699,23932.542,31345.6317,31354.3212,31343.6317,7411.0896,25,0,7130.5717,25,0,4605.4053,25,0,83.9196,15.7076,0.3728,196229784,0.6821,0.6847,0.1389,0.8411
I00699,70,10157.2958,10367.091,10105.2958,12363.3797,12371.4488,12361.3797,2256.0839,25,0,2093.0753,25,0,1435.8893,25,0,81.5522,17.9214,0.5264,37796544,0.6363,0.6397,0.0864,0.8182
I00699,71,26173.6625,26423.2806,26121.6625,28173.4839,28183.0846,28171.4839,2049.8215,25,0,1868.1633,25,0,1493.7481,25,0,72.2366,26.9181,0.8454,328520469,0.4532,0.457,0.025,0.7266
I00699,72,19413.9153,19668.1607,19361.9153,23624.8573,23634.636,23622.8573,4260.942,25,0,4806.3798,25,0,2557.7478,25,0,85.2023,14.4042,0.3935,302394519,0.708,0.7108,0.0252,0.854
I00699,73,635064.0921,635362.8671,635012.0921,709748.3386,709759.8299,709746.3386,74734.2465,25,0,65957.9486,25,0,49043.6483,25,0,71.3892,27.6273,0.9835,81490362356,0.4376,0.442,0.1364,0.7188
I00699,74,113620.3378,113907.2378,113568.3378,145659.4545,145670.4892,145657.4545,32089.1167,25,0,34931.2485,25,0,13028.5315,25,0,85.6887,13.7934,0.5179,7517281504,0.719,0.7227,0.0515,0.8595
I00699,75,188710.991,188995.2379,188658.991,198322.0186,198332.9511,198320.0186,9661.0275,25,0,9496.2961,25,0,8224.3178,25,0,66.8655,32.3515,0.783,10353422066,0.3451,0.3479,0.0418,0.6726
