INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1818.7178,1994.6156,1766.7178,2265.5049,2272.2702,2263.5049,496.7872,25,0,722.3505,25,0,365.5665,25,0,85.3844,14.3077,0.3079,1680716,0.7108,0.713,0.0582,0.8554
I00699,2,235986.272,236259.2291,235934.272,266454.6417,266465.1401,266452.6417,30518.3697,25,0,27442.3136,25,0,20103.8455,25,0,72.5182,26.448,1.0338,11386844424,0.4607,0.4655,0.1462,0.7304
I00699,3,4812.3708,5006.605,4760.3708,6025.4368,6032.9073,6023.4368,1263.066,25,0,1318.1496,25,0,585.5989,25,0,83.5335,15.9992,0.4673,9771707,0.6753,0.6785,0.0784,0.8377
I00699,4,3101.1008,3289.5569,3049.1008,3595.1989,3602.4472,3593.1989,544.0981,25,0,514.1687,25,0,276.8092,25,0,80.3376,19.2931,0.3694,4300560,0.6104,0.6127,0.0487,0.8052
I00699,5,2040.0631,2087.5758,2026.0631,2151.1207,2157.9082,2149.1207,123.0576,6,0,131.0828,6,0,120.2889,6,0,66.9288,28.3011,4.7701,1599692,0.3863,0.4056,0.0288,0.6931
I00699,6,7710.1578,7991.4073,7658.1578,11632.8354,11643.6527,11630.8354,3972.6775,25,0,15240.4199,25,0,2437.1092,25,0,95.7439,4.0905,0.1657,300790870,0.9165,0.9181,0.0041,0.9583
I00699,7,13124.1372,13348.588,13072.1372,17741.4567,17750.0894,17739.4567,4667.3195,25,0,5450.8776,25,0,3146.483,25,0,86.7587,12.9789,0.2624,89869744,0.7378,0.7397,0.0771,0.8689
I00699,8,21808.137,21981.0626,21766.137,26731.3482,26739.5828,26729.3482,4963.2112,20,0,4383.125,20,0,3325.5779,20,0,79.1657,20.3548,0.4795,117267938,0.5881,0.5909,0.1779,0.7941
I00699,9,14208.7614,14380.4724,14164.7614,17934.5183,17942.3233,17932.5183,3767.7569,21,0,3309.3534,21,0,2358.3378,21,0,80.3901,19.1356,0.4743,51752274,0.6125,0.6155,0.193,0.8063
I00699,10,32769.0429,32989.8073,32721.0429,45852.9625,45862.161,45850.9625,13129.9196,23,0,12946.704,23,0,7479.7835,23,0,86.9439,12.7357,0.3204,458431645,0.7421,0.7445,0.1276,0.871
I00699,11,17678.8205,17872.0982,17634.8205,25803.7692,25812.5545,25801.7692,8166.9487,21,0,8987.7145,21,0,4831.5115,21,0,88.6635,11.0718,0.2647,162427392,0.7759,0.778,0.108,0.888
I00699,12,14776.5051,14983.0667,14724.5051,20108.9142,20116.8589,20106.9142,5382.4091,25,0,4841.6322,25,0,3088.3306,25,0,83.9476,15.6132,0.4392,66135080,0.6833,0.6864,0.2081,0.8417
I00699,13,24525.932,24729.5997,24475.932,30169.413,30177.5598,30167.413,5691.481,24,0,4822.3253,24,0,3697.9397,24,0,78.1107,21.3223,0.567,130678392,0.5679,0.5711,0.2281,0.7839
I00699,14,9962.9816,10160.6558,9910.9816,12848.1569,12855.7597,12846.1569,2935.1753,25,0,2637.594,25,0,1816.4681,25,0,82.5411,17.0592,0.3997,28939330,0.6548,0.6574,0.1729,0.8274
I00699,15,72462.022,72703.888,72410.022,93635.4377,93644.7402,93633.4377,21223.4157,25,0,17322.7286,25,0,11162.7489,25,0,79.7957,19.6018,0.6026,1277468982,0.6019,0.6056,0.2342,0.801
I00699,16,4076.8864,4242.3756,4026.8864,5135.0502,5141.6698,5133.0502,1106.1639,24,0,960.9978,24,0,620.2629,24,0,80.8689,18.5685,0.5626,4424728,0.623,0.6265,0.1797,0.8115
I00699,17,5032.7218,5247.2084,4980.7218,8820.8626,8829.1121,8818.8626,3838.1408,25,0,5567.655,25,0,1881.361,25,0,94.0677,5.7818,0.1505,27950292,0.8829,0.8842,0.0618,0.9414
I00699,18,16420.3348,16632.708,16376.3348,33334.668,33344.3213,33332.668,16956.3332,21,0,26401.601,21,0,5906.7189,21,0,95.9491,3.8447,0.2062,421873853,0.921,0.9229,0.0587,0.9605
I00699,19,5322.7706,5508.836,5276.7706,9605.3241,9613.4139,9603.3241,4326.5536,22,0,6343.0279,22,0,2158.7949,22,0,94.2088,5.5078,0.2834,27713735,0.887,0.8895,0.0847,0.9435
I00699,20,4296.6075,4499.3978,4244.6075,6751.1721,6758.9717,6749.1721,2504.5646,25,0,3016.1589,25,0,1353.7065,25,0,92.0967,7.6667,0.2367,14322602,0.8443,0.8463,0.0744,0.9221
I00699,21,11346.7212,11557.8257,11294.7212,16204.935,16213.0544,16202.935,4908.2138,25,0,4796.2355,25,0,2692.7584,25,0,87.6817,11.691,0.6273,55740531,0.7599,0.7647,0.1375,0.88
I00699,22,18849.8814,19088.5192,18797.8814,31930.1814,31939.3597,31928.1814,13130.2999,25,0,14852.6519,25,0,4482.7218,25,0,92.8552,6.5903,0.5545,282494989,0.8626,0.8675,0.0952,0.9313
I00699,23,16183.1971,16428.7685,16131.1971,27376.2214,27385.6665,27374.2214,11243.0243,25,0,19313.9562,25,0,6860.294,25,0,93.0297,6.7452,0.2251,282140936,0.8628,0.8648,0.0558,0.9314
I00699,24,10116.3394,10334.8605,10064.3394,16248.2503,16256.6549,16246.2503,6181.9108,25,0,7051.8655,25,0,3026.4995,25,0,91.4794,8.2646,0.2561,68217570,0.8321,0.8343,0.1042,0.9161
I00699,25,16083.561,16296.9524,16031.561,19012.4539,19020.6613,19010.4539,2978.893,25,0,2726.7568,25,0,1922.9896,25,0,78.2566,21.4333,0.3102,73064376,0.5682,0.57,0.1131,0.7841
I00699,26,24834.4484,25068.5994,24782.4484,31308.8185,31317.8243,31306.8185,6524.3701,25,0,6887.4943,25,0,4592.5068,25,0,83.2971,16.4486,0.2543,243717180,0.6685,0.6702,0.0898,0.8342
I00699,27,29507.0776,29743.4355,29455.0776,34894.8364,34903.9271,34892.8364,5437.7588,25,0,5265.6693,25,0,3912.6696,25,0,79.5111,20.2372,0.2516,297781680,0.5927,0.5942,0.0821,0.7964
I00699,28,13179.055,13382.5942,13131.055,16493.6767,16502.1575,16491.6767,3360.6217,23,0,3599.2456,23,0,2397.6349,23,0,83.4202,16.2678,0.3119,73410084,0.6715,0.6736,0.0777,0.8358
