INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.1717,0.296,15.671,1,0.0001
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-13.5495,1236.553,0.0001,1,0.9913
I00699,1,AGE_GROUP_2,-13.6331,892.6226,0.0002,1,0.9878
I00699,1,AGE_GROUP_3,-13.5361,834.681,0.0003,1,0.9871
I00699,1,AGE_GROUP_4,-13.7389,822.3643,0.0003,1,0.9867
I00699,1,AGE_GROUP_5,-14.0557,522.5829,0.0007,1,0.9785
I00699,1,AGE_GROUP_6,-2.0259,1.0273,3.8889,1,0.0486
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,-0.241,0.4238,0.3234,1,0.5696
I00699,1,AGE_GROUP_9,0.2989,0.3629,0.6784,1,0.4101
I00699,1,AGE_GROUP_10,-0.3985,0.4705,0.7172,1,0.397
I00699,1,AGE_GROUP_11,0.4515,0.3424,1.739,1,0.1873
I00699,1,AGE_GROUP_12,0.7408,0.34,4.7483,1,0.0293
I00699,1,AGE_GROUP_13,0.5156,0.3611,2.0397,1,0.1532
I00699,1,AGE_GROUP_14,0.7702,0.356,4.6807,1,0.0305
I00699,1,AGE_GROUP_15,1.4248,0.3186,20.0027,1,0
I00699,1,AGE_GROUP_16,1.7121,0.3083,30.8373,1,0
I00699,1,AGE_GROUP_17,1.5882,0.3086,26.4778,1,0
I00699,1,AGE_GROUP_18,2.0371,0.3146,41.9345,1,0
I00699,1,AGE_GROUP_19,2.8829,0.3299,76.3827,1,0
I00699,1,AGE_GROUP_20,2.8771,0.4347,43.8152,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.7915,0.1872,17.8831,1,0
I00699,1,CHARLSON_INDEX_3,1.2748,0.1757,52.6696,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.3442,0.1422,5.856,1,0.0155
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.1385,0.2597,253.9318,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,-0.0516,0.1661,0.0964,1,0.7562
I00699,1,YEAR_INDEX_3,0.0697,0.1614,0.1865,1,0.6658
I00699,2,ADMIMETH_1,-0.5315,0.0422,158.813,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-4.1454,0.1701,594.2498,1,0
I00699,2,AGE_GROUP_2,-3.7097,0.1727,461.2589,1,0
I00699,2,AGE_GROUP_3,-3.2971,0.2017,267.2048,1,0
I00699,2,AGE_GROUP_4,-2.638,0.2029,169.0522,1,0
I00699,2,AGE_GROUP_5,-2.9704,0.1846,259.04,1,0
I00699,2,AGE_GROUP_6,-2.9817,0.16,347.4886,1,0
I00699,2,AGE_GROUP_7,-2.6577,0.1243,457.4419,1,0
I00699,2,AGE_GROUP_8,-2.2227,0.0909,597.5185,1,0
I00699,2,AGE_GROUP_9,-2.0413,0.0781,683.3252,1,0
I00699,2,AGE_GROUP_10,-1.6861,0.058,843.9206,1,0
I00699,2,AGE_GROUP_11,-1.4381,0.0421,1167.815,1,0
I00699,2,AGE_GROUP_12,-1.3008,0.0347,1407,1,0
I00699,2,AGE_GROUP_13,-1.1101,0.0294,1428.3546,1,0
I00699,2,AGE_GROUP_14,-0.9536,0.0252,1432.4119,1,0
I00699,2,AGE_GROUP_15,-0.7262,0.021,1190.8692,1,0
I00699,2,AGE_GROUP_16,-0.5078,0.0192,700.8589,1,0
I00699,2,AGE_GROUP_17,-0.2827,0.018,245.6587,1,0
I00699,2,AGE_GROUP_18,0,,,0,
I00699,2,AGE_GROUP_19,0.371,0.017,473.73,1,0
I00699,2,AGE_GROUP_20,0.724,0.018,1620.2941,1,0
I00699,2,AGE_GROUP_21,0,,,0,
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.0655,0.022,8.8764,1,0.0029
I00699,2,CHARLSON_INDEX_3,0.6286,0.0154,1675.7022,1,0
I00699,2,GENDER_1,0,,,0,
I00699,2,GENDER_2,0.0391,0.0103,14.3336,1,0.0002
I00699,2,GENDER_3,0,,,0,
I00699,2,Intercept,-1.5623,0.019,6759.4616,1,0
I00699,2,YEAR_INDEX_1,0,,,0,
I00699,2,YEAR_INDEX_2,0.1538,0.0123,157.524,1,0
I00699,2,YEAR_INDEX_3,0.2188,0.013,284.2404,1,0
I00699,3,ADMIMETH_1,-0.2193,0.2453,0.7995,1,0.3712
I00699,3,ADMIMETH_2,0,,,0,
I00699,3,ADMIMETH_3,0,,,0,
I00699,3,AGE_GROUP_1,-0.6491,1.05,0.3822,1,0.5364
I00699,3,AGE_GROUP_2,0,,,0,
I00699,3,AGE_GROUP_3,-1.407,1.0495,1.7975,1,0.18
I00699,3,AGE_GROUP_4,-0.1589,1.0508,0.0229,1,0.8798
I00699,3,AGE_GROUP_5,0.3591,1.0522,0.1165,1,0.7329
I00699,3,AGE_GROUP_6,-11.1839,331.1162,0.0011,1,0.9731
I00699,3,AGE_GROUP_7,0.8413,0.7791,1.1661,1,0.2802
I00699,3,AGE_GROUP_8,1.7326,0.5546,9.7586,1,0.0018
I00699,3,AGE_GROUP_9,-11.2272,278.8761,0.0016,1,0.9679
I00699,3,AGE_GROUP_10,1.9089,0.4821,15.6784,1,0.0001
I00699,3,AGE_GROUP_11,1.6711,0.4677,12.7655,1,0.0004
I00699,3,AGE_GROUP_12,2.2391,0.3939,32.3111,1,0
I00699,3,AGE_GROUP_13,2.5243,0.3702,46.4943,1,0
I00699,3,AGE_GROUP_14,2.6268,0.3642,52.0352,1,0
I00699,3,AGE_GROUP_15,2.6051,0.3526,54.599,1,0
I00699,3,AGE_GROUP_16,2.7251,0.3468,61.7402,1,0
I00699,3,AGE_GROUP_17,2.8599,0.3446,68.8596,1,0
I00699,3,AGE_GROUP_18,3.1754,0.34,87.2322,1,0
I00699,3,AGE_GROUP_19,3.5417,0.3384,109.5343,1,0
I00699,3,AGE_GROUP_20,4.1165,0.3391,147.3826,1,0
I00699,3,AGE_GROUP_21,0,,,0,
I00699,3,CHARLSON_INDEX_1,0,,,0,
I00699,3,CHARLSON_INDEX_2,0.1988,0.1606,1.5323,1,0.2158
I00699,3,CHARLSON_INDEX_3,0.976,0.1123,75.5683,1,0
I00699,3,GENDER_1,0,,,0,
I00699,3,GENDER_2,0.0077,0.078,0.0097,1,0.9215
I00699,3,GENDER_3,0,,,0,
I00699,3,Intercept,-5.8366,0.3234,325.7797,1,0
I00699,3,YEAR_INDEX_1,0,,,0,
I00699,3,YEAR_INDEX_2,0.0302,0.0934,0.1045,1,0.7464
I00699,3,YEAR_INDEX_3,0.2176,0.0934,5.4239,1,0.0199
I00699,4,ADMIMETH_1,-1.3662,0.3105,19.3604,1,0
I00699,4,ADMIMETH_2,0,,,0,
I00699,4,ADMIMETH_3,0,,,0,
I00699,4,AGE_GROUP_1,0,,,0,
I00699,4,AGE_GROUP_2,-13.8733,532.2739,0.0007,1,0.9792
