INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01964,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",13287,98143,13.5384
I01964,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",5147,41458,12.4150
I01964,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",9046,89909,10.0613
I01964,RVJ,"NORTH BRISTOL NHS TRUST",9986,81136,12.3077
I01964,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",3651,46427,7.8640
I01964,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",5221,46241,11.2908
I01964,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",7762,58767,13.2081
I01964,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",9249,75192,12.3005
I01964,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",8892,70738,12.5703
I01964,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",3124,28380,11.0078
I01964,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",5191,56134,9.2475
I01964,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",8438,65867,12.8107
I01964,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",12539,128780,9.7368
I01964,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",13989,118428,11.8122
I01964,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",11370,114177,9.9582
I01964,RK9,"PLYMOUTH HOSPITALS NHS TRUST",10372,71442,14.5181
I01964,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",6451,51091,12.6265
I01964,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",11600,81739,14.1915
I01964,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",8132,66543,12.2207
I01964,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",7613,70386,10.8161
I01964,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",10001,61701,16.2088
I01964,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",10775,82391,13.0779
I01964,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",4866,46602,10.4416
I01964,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",5465,44835,12.1891
I01964,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",7538,56441,13.3555
I01964,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",6575,49435,13.3003
I01964,RNZ,"SALISBURY NHS FOUNDATION TRUST",4518,35203,12.8341
I01964,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",10326,69614,14.8332
I01964,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",10096,112196,8.9985
I01964,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",8086,56288,14.3654
I01964,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",8727,68392,12.7603
I01964,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",9681,89212,10.8517
I01964,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",2782,24612,11.3034
I01964,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",4459,33135,13.4571
I01964,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",9156,54198,16.8936
I01964,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",4359,32712,13.3254
I01964,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",10645,86400,12.3206
I01964,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",9994,71668,13.9449
I01964,RWJ,"STOCKPORT NHS FOUNDATION TRUST",6448,56910,11.3302
I01964,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",6170,49350,12.5025
I01964,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",3835,34243,11.1994
I01964,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",7674,55079,13.9327
I01964,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",11541,79094,14.5915
I01964,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",4992,38809,12.8630
I01964,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",10259,104058,9.8589
I01964,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",4549,46710,9.7388
I01964,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6745,45876,14.7027
I01964,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",4609,40876,11.2756
I01964,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",7015,48255,14.5374
I01964,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",8772,70350,12.4691
I01964,RKE,"THE WHITTINGTON HOSPITAL NHS TRUST",2988,27741,10.7711
I01964,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",9286,49207,18.8713
I01964,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",10787,83823,12.8688
I01964,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",9286,72194,12.8626
I01964,RM2,"UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST",5611,64905,8.6449
I01964,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",14470,94698,15.2802
I01964,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",10354,65597,15.7843
I01964,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",7844,76358,10.2727
I01964,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",12669,96436,13.1372
I01964,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",18369,151264,12.1437
I01964,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",5699,51795,11.0030
I01964,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",15243,129649,11.7571
I01964,RBK,"WALSALL HEALTHCARE NHS TRUST",5099,45319,11.2514
I01964,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",7263,49727,14.6057
I01964,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",6720,62232,10.7983
I01964,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",4862,36653,13.2649
I01964,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",11951,76683,15.5849
I01964,RA3,"WESTON AREA HEALTH NHS TRUST",2549,17080,14.9239
I01964,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",8050,66585,12.0898
I01964,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",8164,71404,11.4335
I01964,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",4561,40338,11.3070
I01964,RLQ,"WYE VALLEY NHS TRUST",3080,28244,10.9050
I01964,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",4886,26735,18.2757
I01964,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",10679,86547,12.3390
