INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,RQQ,"HINCHINGBROOKE HEALTH CARE NHS TRUST",797,1,289,290,0.1255,36.2610,36.3864
I00721,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",1635,0,214,214,0.0000,13.0887,13.0887
I00721,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",593,0,153,153,0.0000,25.8010,25.8010
I00721,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",4450,0,1081,1081,0.0000,24.2921,24.2921
I00721,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1492,146,218,224,9.7855,14.6113,15.0134
I00721,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4070,0,921,921,0.0000,22.6290,22.6290
I00721,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1690,0,482,482,0.0000,28.5207,28.5207
I00721,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",2714,0,754,754,0.0000,27.7819,27.7819
I00721,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",1197,0,396,396,0.0000,33.0827,33.0827
I00721,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",2769,0,673,673,0.0000,24.3048,24.3048
I00721,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",2975,0,666,666,0.0000,22.3866,22.3866
I00721,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",3302,607,1099,1135,18.3828,33.2829,34.3731
I00721,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3209,295,811,840,9.1929,25.2727,26.1764
I00721,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3200,281,983,988,8.7813,30.7188,30.8750
I00721,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1700,0,672,672,0.0000,39.5294,39.5294
I00721,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",1802,0,569,569,0.0000,31.5760,31.5760
I00721,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",2865,0,605,605,0.0000,21.1169,21.1169
I00721,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",1921,1,593,593,0.0521,30.8693,30.8693
I00721,RVJ,"NORTH BRISTOL NHS TRUST",2056,1,543,544,0.0486,26.4105,26.4591
I00721,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",2090,0,821,821,0.0000,39.2823,39.2823
I00721,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4112,0,786,786,0.0000,19.1148,19.1148
I00721,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",2092,0,528,528,0.0000,25.2390,25.2390
I00721,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",1280,0,216,216,0.0000,16.8750,16.8750
I00721,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1732,0,431,431,0.0000,24.8845,24.8845
I00721,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",4010,99,850,859,2.4688,21.1970,21.4214
I00721,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",3516,113,766,783,3.2139,21.7861,22.2696
I00721,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",3700,0,870,870,0.0000,23.5135,23.5135
I00721,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",4446,0,974,974,0.0000,21.9073,21.9073
I00721,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2232,0,365,365,0.0000,16.3530,16.3530
