INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,2285.632,2470.059,2233.632,2901.526,2908.619,2899.526,665.8937,25,0,913.571,25,0,459.0136,25,0,85.621,13.086,1.293,2925468,0.725,0.735,0.054,0.862677185
I00699,2,114971.373,115224.991,114919.373,133897.289,133907.043,133895.289,18975.9153,25,0,17739.1709,25,0,13014.1192,25,0,75.003,23.914,1.083,2774013300,0.511,0.516,0.175,0.755447986
I00699,3,3706.61,3892.371,3654.61,4790.962,4798.106,4788.962,1134.3513,25,0,1146.0357,25,0,366.4106,25,0,84.593,14.513,0.894,5768763,0.701,0.707,0.092,0.85039765
I00699,4,2963.408,3147.196,2911.408,3501.029,3508.098,3499.029,587.6215,25,0,539.071,25,0,255.1246,25,0,80.922,18.201,0.877,3648991,0.627,0.633,0.061,0.813608063
I00699,5,1679.754,1728.93,1665.754,1850.704,1857.73,1848.704,182.9506,6,0,179.3215,6,0,150.4918,6,0,72.278,19.514,8.209,1582230,0.528,0.575,0.024,0.763818155
I00699,6,6461.954,6738.283,6409.954,9871.681,9882.309,9869.681,3459.7268,25,0,12992.9256,25,0,1952.4757,25,0,91.21,2.458,6.332,212094312,0.888,0.948,0.004,0.943763586
I00699,7,13717.402,13943.164,13665.402,18524.513,18533.196,18522.513,4857.1106,25,0,5927.1057,25,0,3475.1054,25,0,86.033,12.644,1.323,98488914,0.734,0.744,0.076,0.866944284
I00699,8,22781.394,22956.631,22739.394,28515.122,28523.466,28513.122,5773.7274,20,0,5270.1477,20,0,3905.9799,20,0,80.129,18.329,1.542,137458838,0.618,0.628,0.176,0.809000524
I00699,9,15894.326,16085.436,15846.326,20080.328,20088.291,20078.328,4232.0019,23,0,3811.7825,23,0,2763.684,23,0,80.768,18.474,0.759,66795183,0.623,0.628,0.185,0.811468965
I00699,10,35246.991,35467.973,35198.991,47964.385,47973.592,47962.385,12763.3936,23,0,12700.2206,23,0,8128.9134,23,0,85.6,13.626,0.774,489389824,0.72,0.725,0.13,0.859866906
I00699,11,19169.776,19364.012,19125.776,27088.234,27097.063,27086.234,7960.4586,21,0,9089.1257,21,0,5318.8251,21,0,87.371,11.799,0.83,178371225,0.756,0.762,0.106,0.877859702
