INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,72,18797.9656,19162.69,18723.9656,22510.8126,22520.67,22508.8126,3784.847,36,0,4258.6354,36,0,2356.8915,36,0,84.8089,15.1554,0.0357,302904460,0.6965,0.6968,0.0212,0.8483
I00699,73,650432.8651,650862.1751,650358.8651,720640.3801,720651.9831,720638.3801,70279.515,36,0,62262.7356,36,0,46921.7959,36,0,71.3933,28.5108,0.096,89466993084,0.4288,0.4292,0.1174,0.7144
I00699,74,107127.8852,107540.5446,107053.8852,136943.3152,136954.4682,136941.3152,29887.43,36,0,33688.2711,36,0,12502.8653,36,0,86.4989,13.4495,0.0516,7595843712,0.7305,0.7309,0.0418,0.8652
I00699,75,190275.5754,190682.5766,190201.5754,199597.1158,199608.1158,199595.1158,9393.5404,36,0,9277.8398,36,0,8085.6306,36,0,67.0303,32.8958,0.0739,10952352347,0.3413,0.3416,0.0382,0.6707
I00699,76,7781.931,8159.9753,7707.931,9816.8491,9827.0665,9814.8491,2106.9181,36,0,4718.8787,36,0,1593.7406,36,0,90.1274,9.8518,0.0208,149742734,0.8028,0.8029,0.0059,0.9014
I00699,77,94120.9307,94463.4082,94046.9307,101934.9556,101944.2117,101932.9556,7886.0249,36,0,7028.7895,36,0,5813.521,36,0,67.3943,32.4996,0.1061,1394545705,0.3489,0.3493,0.1627,0.6745
I00699,78,44576.4784,44930.4885,44502.4784,51811.3062,51820.8741,51809.3062,7306.8278,36,0,6954.2117,36,0,4620.6258,36,0,78.4462,21.5081,0.0457,695460914,0.5694,0.5696,0.071,0.7847
I00699,79,31405.9211,31714.5596,31331.9211,33954.9932,33963.3347,33952.9932,2621.072,36,0,2456.5619,36,0,2111.3179,36,0,68.9302,31.0052,0.0646,173774454,0.3792,0.3795,0.1372,0.6896
I00699,80,3095.6815,3327.8893,3021.6815,3451.1341,3457.41,3449.1341,427.4525,36,0,408.2401,36,0,282.8566,36,0,73.7915,26.1532,0.0554,2069727,0.4764,0.4766,0.1278,0.7382
I00699,81,34654.8106,35012.6753,34580.8106,42342.7248,42352.3968,42340.7248,7759.9142,36,0,7376.0336,36,0,3793.1218,36,0,83.082,16.8898,0.0282,578679366,0.6619,0.6621,0.0557,0.831
I00699,82,52623.6549,53057.3354,52549.6549,71789.6927,71801.4138,71787.6927,19238.0378,36,0,32529.2939,36,0,9938.5119,36,0,92.5502,7.4283,0.0214,5384806322,0.8512,0.8514,0.0111,0.9256
I00699,83,56172.6461,56572.0587,56098.6461,72342.8184,72353.6134,72340.8184,16242.1724,36,0,19856.4577,36,0,6918.9669,36,0,87.9704,11.9967,0.0329,2620404736,0.7597,0.76,0.0307,0.8799
I00699,84,15128.4259,15484.9285,15054.4259,17712.3588,17721.994,17710.3588,2655.9328,36,0,3144.3196,36,0,1841.0914,36,0,83.84,16.1366,0.0233,190098692,0.677,0.6772,0.0202,0.8385
I00699,85,5604.6049,5888.9184,5530.6049,6767.2402,6774.9243,6765.2402,1234.6353,36,0,1292.6079,36,0,750.1726,36,0,82.6837,17.2807,0.0355,13216170,0.654,0.6543,0.067,0.827
I00699,86,10023.1671,10373.545,9949.1671,12450.2731,12459.7428,12448.2731,2499.106,36,0,3229.4459,36,0,1431.8962,36,0,87.9175,12.0591,0.0234,108716082,0.7586,0.7588,0.018,0.8793
I00699,87,18469.0807,18842.5206,18395.0807,24271.1479,24281.2409,24269.1479,5874.0672,36,0,7624.1025,36,0,3516.0878,36,0,89.8142,10.1674,0.0184,399077787,0.7965,0.7966,0.0199,0.8982
I00699,88,4337.9777,4679.8708,4263.9777,5913.7898,5923.0301,5911.7898,1647.8121,36,0,3917.9824,36,0,1116.0392,36,0,92.0578,7.9292,0.013,36994317,0.8413,0.8414,0.0107,0.9206
I00699,89,50371.0364,50723.7578,50297.0364,59613.2885,59622.8215,59611.2885,9314.2521,36,0,9730.0655,36,0,6807.469,36,0,79.4989,20.4534,0.0477,814415700,0.5905,0.5907,0.0924,0.7952
I00699,90,21042.6039,21420.5568,20968.6039,27710.2581,27720.4731,27708.2581,6739.6542,36,0,9114.8859,36,0,3627.1487,36,0,90.2763,9.6991,0.0246,515907280,0.8058,0.806,0.0204,0.9029
I00699,91,12591.2109,12959.5808,12517.2109,20426.061,20436.017,20424.061,7906.8502,36,0,20426.3464,36,0,4339.3071,36,0,95.5137,4.477,0.0093,290624539,0.9104,0.9105,0.0218,0.9552
