INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.0095,0.2512,16.1536,1,0.0001
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-14.0304,1595.2496,0.0001,1,0.993
I00699,1,AGE_GROUP_10,-0.6926,0.5556,1.5542,1,0.2125
I00699,1,AGE_GROUP_11,0.609,0.3557,2.9314,1,0.0869
I00699,1,AGE_GROUP_12,1.174,0.3335,12.3899,1,0.0004
I00699,1,AGE_GROUP_13,1.1447,0.3356,11.6314,1,0.0006
I00699,1,AGE_GROUP_14,1.754,0.3148,31.0422,1,0
I00699,1,AGE_GROUP_15,1.752,0.3088,32.1904,1,0
I00699,1,AGE_GROUP_16,2.1035,0.3031,48.1717,1,0
I00699,1,AGE_GROUP_17,2.2916,0.2986,58.9019,1,0
I00699,1,AGE_GROUP_18,2.4922,0.3059,66.3572,1,0
I00699,1,AGE_GROUP_19,2.806,0.3277,73.3129,1,0
I00699,1,AGE_GROUP_2,-0.2725,1.0326,0.0696,1,0.7919
I00699,1,AGE_GROUP_20,2.9944,0.4075,54.0077,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,AGE_GROUP_3,-14.1726,1429.7519,0.0001,1,0.9921
I00699,1,AGE_GROUP_4,-14.3002,983.6221,0.0002,1,0.9884
I00699,1,AGE_GROUP_5,-14.4619,621.5993,0.0005,1,0.9814
I00699,1,AGE_GROUP_6,-1.6275,0.7471,4.7452,1,0.0294
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,-0.1636,0.4114,0.1581,1,0.6909
I00699,1,AGE_GROUP_9,-0.0877,0.428,0.042,1,0.8377
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.3741,0.1655,5.1082,1,0.0238
I00699,1,CHARLSON_INDEX_3,1.091,0.1508,52.3074,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.267,0.1261,4.4843,1,0.0342
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.2743,0.2606,268.9812,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,-0.1119,0.1473,0.5763,1,0.4478
I00699,1,YEAR_INDEX_3,-0.1509,0.1455,1.0753,1,0.2997
I00699,2,ADMIMETH_1,-0.6951,0.0539,166.0265,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-3.8367,0.1911,403.186,1,0
I00699,2,AGE_GROUP_10,-1.5655,0.0706,492.123,1,0
I00699,2,AGE_GROUP_11,-1.4439,0.057,641.1129,1,0
I00699,2,AGE_GROUP_12,-1.1756,0.0468,630.0581,1,0
I00699,2,AGE_GROUP_13,-0.956,0.0396,583.2304,1,0
I00699,2,AGE_GROUP_14,-0.7209,0.0334,466.2663,1,0
I00699,2,AGE_GROUP_15,-0.5679,0.0293,375.6375,1,0
I00699,2,AGE_GROUP_16,-0.2707,0.0278,94.7501,1,0
I00699,2,AGE_GROUP_17,0,,,0,
I00699,2,AGE_GROUP_18,0.4647,0.0252,341.0348,1,0
I00699,2,AGE_GROUP_19,0.8273,0.0257,1036.0671,1,0
I00699,2,AGE_GROUP_2,-3.1172,0.1739,321.4664,1,0
I00699,2,AGE_GROUP_20,1.1941,0.0277,1858.2893,1,0
I00699,2,AGE_GROUP_21,0,,,0,
I00699,2,AGE_GROUP_3,-2.7656,0.2161,163.7665,1,0
I00699,2,AGE_GROUP_4,-2.7642,0.2921,89.5764,1,0
I00699,2,AGE_GROUP_5,-2.4658,0.1996,152.6097,1,0
I00699,2,AGE_GROUP_6,-2.3756,0.1657,205.6629,1,0
I00699,2,AGE_GROUP_7,-2.2373,0.148,228.6261,1,0
I00699,2,AGE_GROUP_8,-2.0523,0.1193,295.7989,1,0
I00699,2,AGE_GROUP_9,-1.815,0.0975,346.2988,1,0
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.1022,0.0296,11.8992,1,0.0006
I00699,2,CHARLSON_INDEX_3,0.4561,0.0206,491.8632,1,0
I00699,2,GENDER_1,-0.0652,0.0145,20.344,1,0
I00699,2,GENDER_2,0,,,0,
I00699,2,GENDER_3,0,,,0,
I00699,2,Intercept,-1.4905,0.0283,2770.8213,1,0
I00699,2,YEAR_INDEX_1,0,,,0,
I00699,2,YEAR_INDEX_2,0.0975,0.0171,32.411,1,0
I00699,2,YEAR_INDEX_3,0.2067,0.0175,139.0472,1,0
I00699,3,ADMIMETH_1,-0.3934,0.2587,2.3125,1,0.1283
I00699,3,ADMIMETH_2,0,,,0,
I00699,3,ADMIMETH_3,0,,,0,
I00699,3,AGE_GROUP_1,14.2521,440.852,0.001,1,0.9742
I00699,3,AGE_GROUP_10,16.1741,440.8516,0.0013,1,0.9707
I00699,3,AGE_GROUP_11,15.9687,440.8516,0.0013,1,0.9711
I00699,3,AGE_GROUP_12,16.5004,440.8516,0.0014,1,0.9701
I00699,3,AGE_GROUP_13,16.814,440.8515,0.0015,1,0.9696
I00699,3,AGE_GROUP_14,16.7832,440.8515,0.0014,1,0.9696
I00699,3,AGE_GROUP_15,16.9023,440.8515,0.0015,1,0.9694
I00699,3,AGE_GROUP_16,16.9328,440.8515,0.0015,1,0.9694
I00699,3,AGE_GROUP_17,17.4971,440.8515,0.0016,1,0.9683
I00699,3,AGE_GROUP_18,17.7136,440.8515,0.0016,1,0.9679
I00699,3,AGE_GROUP_19,18.0199,440.8515,0.0017,1,0.9674
I00699,3,AGE_GROUP_2,0,,,0,
I00699,3,AGE_GROUP_20,18.5269,440.8515,0.0018,1,0.9665
I00699,3,AGE_GROUP_21,0,,,0,
