INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,2219.562,2403.079,2167.562,2806.706,2813.765,2804.706,637.1446,25,0,866.8318,25,0,436.9208,25,0,85.74,13.228,1.032,2733729,0.725,0.733,0.054,0.862555323
I00699,2,120395.169,120650.217,120343.169,140003.425,140013.235,140001.425,19658.2564,25,0,18422.5293,25,0,13498.2089,25,0,74.954,24.055,0.991,3053196250,0.509,0.514,0.172,0.754499114
I00699,3,3694.792,3881.042,3642.792,4749.113,4756.276,4747.113,1104.3208,25,0,1123.4375,25,0,356.7871,25,0,84.545,14.698,0.757,5779800,0.698,0.704,0.089,0.849231375
I00699,4,2903.142,3087.032,2851.142,3433.992,3441.065,3431.992,580.8504,25,0,529.4805,25,0,235.7498,25,0,80.9,18.148,0.952,3569973,0.628,0.634,0.059,0.813761197
I00699,5,1720.858,1769.929,1706.858,1903.896,1910.906,1901.896,195.0375,6,0,183.9228,6,0,155.0958,6,0,73.656,19.704,6.64,1620549,0.54,0.578,0.026,0.769761976
I00699,6,6469.728,6746.841,6417.728,9828.177,9838.835,9826.177,3408.4493,25,0,12680.4684,25,0,1907.6931,25,0,91.097,2.486,6.416,216413670,0.886,0.947,0.004,0.943054464
I00699,7,13682.817,13908.564,13630.817,18401.901,18410.583,18399.901,4769.0841,25,0,5802.2967,25,0,3438.0225,25,0,85.88,12.688,1.432,97613696,0.732,0.743,0.075,0.865957816
I00699,8,22776.06,22951.281,22734.06,28544.166,28552.509,28542.166,5808.1053,20,0,5294.3564,20,0,3930.3163,20,0,80.366,18.442,1.192,137580600,0.619,0.627,0.177,0.809619234
I00699,9,15669.315,15860.067,15621.315,19828.045,19835.993,19826.045,4204.7297,23,0,3794.6586,23,0,2756.8037,23,0,80.784,18.257,0.959,65031309,0.625,0.631,0.186,0.812633658
I00699,10,34793.879,35014.878,34745.879,47575.245,47584.453,47573.245,12827.3657,23,0,12773.1842,23,0,8060.7187,23,0,85.748,13.431,0.821,484427790,0.723,0.729,0.129,0.861586214
I00699,11,18991.751,19185.925,18947.751,26965.949,26974.775,26963.949,8016.1979,21,0,9129.1396,21,0,5297.5592,21,0,87.552,11.569,0.879,176978160,0.76,0.767,0.106,0.879918002
I00699,12,14166.447,14370.35,14114.447,19138.537,19146.379,19136.537,5022.0897,25,0,4502.7526,25,0,2989.6586,25,0,83.26,16.097,0.643,57892500,0.672,0.676,0.22,0.835812325
