INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1959.9486,2137.7698,1907.9486,2432.841,2439.6803,2430.841,522.8925,25,0,701.8669,25,0,358.1051,25,0,85.3459,14.3684,0.2857,1942164,0.7098,0.7118,0.0579,0.8549
I00699,2,160914.994,161178.0915,160862.994,184802.0429,184812.1621,184800.0429,23937.0489,25,0,22080.2227,25,0,15946.0881,25,0,74.0851,25.0781,0.8368,5430455172,0.4901,0.4942,0.1583,0.745
I00699,3,4158.6844,4349.7938,4106.6844,5332.0855,5339.4359,5330.0855,1223.4011,25,0,1265.4592,25,0,468.7596,25,0,84.9134,14.6774,0.4091,7663030,0.7024,0.7052,0.0814,0.8512
I00699,4,2977.6883,3164.9169,2925.6883,3497.7302,3504.9313,3495.7302,570.0419,25,0,543.2768,25,0,278.0251,25,0,81.1893,18.4512,0.3595,4012155,0.6274,0.6296,0.0513,0.8137
I00699,5,1748.9117,1797.0201,1734.9117,1868.431,1875.3036,1866.431,131.5193,6,0,140.8886,6,0,125.9728,6,0,69.3617,25.7948,4.8435,1427168,0.4357,0.4578,0.0244,0.7178
I00699,6,7229.544,7508.8934,7177.544,10918.7143,10929.4585,10916.7143,3739.1703,25,0,13790.114,25,0,2034.9344,25,0,96.01,3.8373,0.1528,262838817,0.9217,0.9231,0.0041,0.9609
I00699,7,13221.6343,13446.5845,13169.6343,17688.8675,17697.5194,17686.8675,4517.2331,25,0,5415.2757,25,0,3196.0052,25,0,86.2374,13.505,0.2575,90771345,0.7273,0.7292,0.0739,0.8637
I00699,8,21928.1012,22101.8947,21886.1012,27117.2804,27125.5563,27115.2804,5229.1792,20,0,4688.9629,20,0,3533.7961,20,0,79.8998,19.6604,0.4398,122819983,0.6024,0.6051,0.1757,0.8012
I00699,9,14510.7865,14691.5799,14464.7865,18454.7187,18462.5793,18452.7187,3987.9322,22,0,3538.0422,22,0,2509.1957,22,0,81.0529,18.5114,0.4356,55764399,0.6254,0.6282,0.19,0.8127
I00699,10,33327.0863,33548.4983,33279.0863,46873.3479,46882.5734,46871.3479,13592.2616,23,0,13527.3729,23,0,7886.1001,23,0,87.1428,12.5458,0.3113,480703800,0.746,0.7483,0.1274,0.873
I00699,11,17654.3673,17847.9907,17610.3673,25557.3038,25566.1048,25555.3038,7944.9365,21,0,8915.9654,21,0,4892.5544,21,0,88.4374,11.3021,0.2605,162194076,0.7714,0.7734,0.1039,0.8857
I00699,12,14457.5835,14663.2543,14405.5835,19688.8926,19696.803,19686.8926,5281.3091,25,0,4773.6747,25,0,3075.0671,25,0,83.9011,15.7315,0.3674,62861774,0.6817,0.6842,0.2113,0.8408
