INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,ENG,"ENGLAND",23257,8908215,0.2611
I01963,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",73,47557,0.1535
I01963,RCF,"AIREDALE NHS FOUNDATION TRUST",4,34885,0.0115
I01963,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",23,42579,0.0540
I01963,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",25,83703,0.0299
I01963,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1,41484,0.0024
I01963,R1H,"BARTS HEALTH NHS TRUST",498,155546,0.3202
I01963,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",117,55128,0.2122
I01963,RC1,"BEDFORD HOSPITAL NHS TRUST",14,34551,0.0405
I01963,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",32,57077,0.0561
I01963,RMC,"BOLTON NHS FOUNDATION TRUST",326,64950,0.5019
I01963,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",38,75923,0.0501
I01963,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",33,70983,0.0465
I01963,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",377,56533,0.6669
I01963,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",82,43079,0.1903
I01963,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",10,66121,0.0151
I01963,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",31,74619,0.0415
I01963,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",160,106097,0.1508
I01963,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",5292,89719,5.8984
I01963,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",10,50057,0.0200
I01963,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",14,56627,0.0247
I01963,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",5,56603,0.0088
I01963,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",200,48686,0.4108
I01963,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",7,82604,0.0085
I01963,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",47,43548,0.1079
I01963,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",40,54270,0.0737
