INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,"ENGLAND",300219,5585,98727,99296,1.8603,32.8850,33.0745
I00721,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2263,166,1137,1161,7.3354,50.2430,51.3036
I00721,RCF,"AIREDALE NHS FOUNDATION TRUST",1017,1,284,285,0.0983,27.9253,28.0236
I00721,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1706,13,750,752,0.7620,43.9625,44.0797
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3246,0,1298,1298,0.0000,39.9877,39.9877
I00721,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1578,0,338,338,0.0000,21.4195,21.4195
I00721,R1H,"BARTS HEALTH NHS TRUST",3852,377,1500,1517,9.7871,38.9408,39.3821
I00721,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2294,365,518,687,15.9111,22.5806,29.9477
I00721,RC1,"BEDFORD HOSPITAL NHS TRUST",1272,0,361,361,0.0000,28.3805,28.3805
I00721,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2458,4,638,639,0.1627,25.9561,25.9967
I00721,RMC,"BOLTON NHS FOUNDATION TRUST",1796,0,509,509,0.0000,28.3408,28.3408
I00721,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1990,0,530,530,0.0000,26.6332,26.6332
I00721,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2349,1,574,574,0.0426,24.4359,24.4359
I00721,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1698,186,804,809,10.9541,47.3498,47.6443
I00721,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2560,0,1001,1001,0.0000,39.1016,39.1016
I00721,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2347,0,831,831,0.0000,35.4069,35.4069
I00721,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1643,13,813,814,0.7912,49.4827,49.5435
I00721,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1950,0,468,468,0.0000,24.0000,24.0000
I00721,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2032,0,375,375,0.0000,18.4547,18.4547
I00721,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1487,0,518,518,0.0000,34.8352,34.8352
I00721,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3165,0,1418,1418,0.0000,44.8025,44.8025
I00721,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1360,0,532,532,0.0000,39.1176,39.1176
I00721,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1629,0,858,858,0.0000,52.6703,52.6703
I00721,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2798,0,1263,1263,0.0000,45.1394,45.1394
I00721,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1154,0,352,352,0.0000,30.5026,30.5026
I00721,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2539,177,980,983,6.9712,38.5979,38.7160
I00721,RJN,"EAST CHESHIRE NHS TRUST",970,0,174,174,0.0000,17.9381,17.9381
I00721,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4242,0,1022,1022,0.0000,24.0924,24.0924
I00721,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2807,0,877,877,0.0000,31.2433,31.2433
I00721,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4736,0,1371,1371,0.0000,28.9485,28.9485
I00721,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2679,0,752,752,0.0000,28.0702,28.0702
I00721,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1977,0,755,755,0.0000,38.1892,38.1892
I00721,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3612,1,1638,1638,0.0277,45.3488,45.3488
I00721,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1569,168,344,356,10.7075,21.9248,22.6896
I00721,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1067,0,216,216,0.0000,20.2437,20.2437
I00721,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3019,1,973,974,0.0331,32.2292,32.2623
I00721,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1855,61,558,559,3.2884,30.0809,30.1348
I00721,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1450,1,756,756,0.0690,52.1379,52.1379
I00721,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2126,155,830,860,7.2907,39.0405,40.4516
I00721,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",949,0,233,233,0.0000,24.5522,24.5522
I00721,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",514,0,219,219,0.0000,42.6070,42.6070
I00721,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",3464,91,917,954,2.6270,26.4723,27.5404
I00721,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2253,1,1272,1272,0.0444,56.4581,56.4581
I00721,R1F,"ISLE OF WIGHT NHS TRUST",928,0,259,259,0.0000,27.9095,27.9095
I00721,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1684,0,420,420,0.0000,24.9406,24.9406
I00721,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1745,0,487,487,0.0000,27.9083,27.9083
I00721,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3255,0,1612,1612,0.0000,49.5238,49.5238
I00721,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1237,0,552,552,0.0000,44.6241,44.6241
I00721,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2393,0,1084,1084,0.0000,45.2988,45.2988
I00721,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4318,0,1344,1344,0.0000,31.1255,31.1255
I00721,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2544,0,562,562,0.0000,22.0912,22.0912
I00721,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",2646,0,903,903,0.0000,34.1270,34.1270
I00721,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1877,0,630,630,0.0000,33.5642,33.5642
I00721,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2455,0,714,714,0.0000,29.0835,29.0835
I00721,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3465,1,1386,1386,0.0289,40.0000,40.0000
I00721,RPA,"MEDWAY NHS FOUNDATION TRUST",2035,0,521,521,0.0000,25.6020,25.6020
I00721,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1606,0,406,406,0.0000,25.2802,25.2802
I00721,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",2146,0,429,429,0.0000,19.9907,19.9907
I00721,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2986,0,939,939,0.0000,31.4468,31.4468
I00721,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1326,0,663,663,0.0000,50.0000,50.0000
I00721,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3663,2,1451,1451,0.0546,39.6123,39.6123
I00721,RVJ,"NORTH BRISTOL NHS TRUST",2363,0,632,632,0.0000,26.7457,26.7457
I00721,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",1904,0,574,574,0.0000,30.1471,30.1471
I00721,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1356,0,261,261,0.0000,19.2478,19.2478
I00721,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",2109,1,725,726,0.0474,34.3765,34.4239
I00721,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2888,0,1010,1010,0.0000,34.9723,34.9723
I00721,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",2068,0,844,844,0.0000,40.8124,40.8124
I00721,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1103,1,372,372,0.0907,33.7262,33.7262
I00721,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",2530,0,451,451,0.0000,17.8261,17.8261
I00721,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",3264,637,1296,1339,19.5159,39.7059,41.0233
I00721,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4518,295,1380,1382,6.5294,30.5445,30.5888
I00721,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3214,280,1458,1459,8.7119,45.3640,45.3951
I00721,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",3939,25,872,872,0.6347,22.1376,22.1376
