INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,"ENGLAND",284326,4718,82612,83087,1.6594,29.0554,29.2224
I00721,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2056,46,1085,1086,2.2374,52.7724,52.8210
I00721,RCF,"AIREDALE NHS FOUNDATION TRUST",995,0,297,297,0.0000,29.8492,29.8492
I00721,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1637,0,720,720,0.0000,43.9829,43.9829
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3184,0,821,821,0.0000,25.7852,25.7852
I00721,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1482,0,299,299,0.0000,20.1754,20.1754
I00721,R1H,"BARTS HEALTH NHS TRUST",3753,276,1049,1053,7.3541,27.9510,28.0576
I00721,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2036,363,417,579,17.8291,20.4813,28.4381
I00721,RC1,"BEDFORD HOSPITAL NHS TRUST",1218,0,321,321,0.0000,26.3547,26.3547
I00721,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2360,4,495,495,0.1695,20.9746,20.9746
I00721,RMC,"BOLTON NHS FOUNDATION TRUST",1692,0,472,472,0.0000,27.8960,27.8960
I00721,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1832,0,410,410,0.0000,22.3799,22.3799
I00721,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2351,0,639,639,0.0000,27.1799,27.1799
I00721,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1507,146,605,618,9.6881,40.1460,41.0086
I00721,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1354,0,405,405,0.0000,29.9114,29.9114
I00721,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2346,0,591,591,0.0000,25.1918,25.1918
I00721,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2150,0,728,728,0.0000,33.8605,33.8605
I00721,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1715,0,484,484,0.0000,28.2216,28.2216
I00721,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1548,13,500,500,0.8398,32.2997,32.2997
I00721,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1727,0,432,432,0.0000,25.0145,25.0145
I00721,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2004,0,376,376,0.0000,18.7625,18.7625
I00721,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2247,0,537,537,0.0000,23.8985,23.8985
I00721,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1497,0,589,589,0.0000,39.3454,39.3454
I00721,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3063,0,814,814,0.0000,26.5753,26.5753
I00721,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1248,0,435,435,0.0000,34.8558,34.8558
I00721,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1474,0,677,677,0.0000,45.9294,45.9294
I00721,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3192,283,594,630,8.8659,18.6090,19.7368
I00721,RP5,"DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST",2777,0,1143,1143,0.0000,41.1595,41.1595
I00721,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1169,0,361,361,0.0000,30.8811,30.8811
I00721,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2337,163,1070,1070,6.9748,45.7852,45.7852
I00721,RJN,"EAST CHESHIRE NHS TRUST",937,0,159,159,0.0000,16.9691,16.9691
