INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",3489,2400,1089,68.7876,31.2124
I00733,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",3591,2436,1155,67.8363,32.1637
I00733,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",4494,2951,1543,65.6653,34.3347
I00733,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2249,1525,724,67.8079,32.1921
I00733,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",2012,1365,647,67.8429,32.1571
I00733,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2368,1642,726,69.3412,30.6588
I00733,RWJ,"STOCKPORT NHS FOUNDATION TRUST",1927,1493,434,77.4779,22.5221
I00733,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",2855,1866,989,65.3590,34.6410
I00733,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",1519,1078,441,70.9677,29.0323
I00733,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2375,1653,722,69.6000,30.4000
I00733,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4554,3555,999,78.0632,21.9368
I00733,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2631,1841,790,69.9734,30.0266
I00733,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2935,2101,834,71.5843,28.4157
I00733,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2359,1658,701,70.2840,29.7160
I00733,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",2185,1576,609,72.1281,27.8719
I00733,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2380,1709,671,71.8067,28.1933
I00733,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2223,1682,541,75.6635,24.3365
I00733,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3025,2108,917,69.6860,30.3140
I00733,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1590,1165,425,73.2704,26.7296
I00733,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2626,1902,724,72.4296,27.5704
I00733,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",2621,1723,898,65.7383,34.2617
I00733,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2318,1727,591,74.5039,25.4961
I00733,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",3110,2111,999,67.8778,32.1222
