INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1467.2257,1713.2293,1393.2257,1839.8525,1846.5012,1837.8525,444.6268,36,0,635.6919,36,0,308.0045,36,0,86.8164,13.1585,0.0251,1185192,0.7366,0.7368,0.0537,0.8683
I00699,2,389964.3894,390371.2206,389890.3894,435905.9027,435916.8982,435903.9027,46013.5133,36,0,40959.5351,36,0,30684.3776,36,0,72.058,27.8537,0.0883,30571146684,0.442,0.4424,0.1394,0.721
I00699,3,5745.3057,6030.2451,5671.3057,6963.3984,6971.0995,6961.3984,1290.0927,36,0,1283.1413,36,0,636.6517,36,0,82.3615,17.5931,0.0454,13876964,0.6477,0.648,0.0674,0.8238
I00699,4,3206.7433,3477.1229,3132.7433,3761.8499,3769.1574,3759.8499,627.1066,36,0,615.3212,36,0,356.7573,36,0,82.1438,17.8248,0.0313,4756950,0.6432,0.6434,0.0504,0.8216
I00699,5,1668.6188,1788.0708,1632.6188,1703.4757,1710.1119,1701.4757,68.8569,17,0,71.5841,17,0,67.9683,17,0,67.1757,32.4171,0.4072,1065456,0.3476,0.349,0.0234,0.6738
I00699,6,10261.0626,10664.3406,10187.0626,15793.1246,15804.024,15791.1246,5604.0621,36,0,19418.8658,36,0,3035.964,36,0,96.3604,3.6264,0.0132,459957066,0.9273,0.9275,0.0053,0.9637
I00699,7,12965.6129,13283.8296,12891.6129,17639.4894,17648.0899,17637.4894,4745.8765,36,0,5393.892,36,0,3073.7451,36,0,87.1949,12.7831,0.0219,87168550,0.7441,0.7443,0.0805,0.8721
I00699,8,20892.8262,21162.3374,20826.8262,25425.4729,25433.6399,25423.4729,4596.6467,32,0,4014.4089,32,0,3062.8306,32,0,78.8966,21.0593,0.0441,104893264,0.5784,0.5786,0.1791,0.7892
I00699,9,13522.4325,13777.6038,13456.4325,17027.8583,17035.5907,17025.8583,3569.4258,32,0,3068.1172,32,0,2161.2354,32,0,80.408,19.5473,0.0447,46031184,0.6086,0.6089,0.1972,0.8043
I00699,10,31679.5861,32000.0174,31609.5861,44192.6395,44201.7947,44190.6395,12581.0534,34,0,12204.6603,34,0,6998.116,34,0,86.9777,12.995,0.0273,423946614,0.7398,0.74,0.1283,0.8699
I00699,11,17041.8744,17330.3401,16975.8744,25209.3708,25218.1121,25207.3708,8231.4964,32,0,8864.0538,32,0,4602.982,32,0,89.2899,10.6882,0.0219,152804201,0.786,0.7862,0.1124,0.893
I00699,12,15160.6817,15455.7798,15086.6817,20629.6992,20637.6748,20627.6992,5541.0175,36,0,4903.7865,36,0,2999.9775,36,0,84.0774,15.8825,0.0401,69848940,0.6819,0.6822,0.2062,0.841
I00699,13,24533.2605,24817.9826,24463.2605,29912.8663,29921.0012,29910.8663,5447.6058,34,0,4602.2465,34,0,3554.2801,34,0,77.836,22.1129,0.0511,128202447,0.5572,0.5575,0.2249,0.7786
I00699,14,10096.6652,10376.9909,10022.6652,12783.7384,12791.3148,12781.7384,2759.0732,36,0,2417.9352,36,0,1706.3955,36,0,81.8791,18.0847,0.0362,28247716,0.6379,0.6382,0.1733,0.819
I00699,15,69080.6076,69424.0906,69006.6076,89932.3446,89941.628,89930.3446,20923.7371,36,0,16975.5309,36,0,10497.3596,36,0,80.3836,19.564,0.0524,1194306056,0.6082,0.6085,0.2299,0.8041
I00699,16,4102.6096,4339.2583,4030.6096,5099.2289,5105.8025,5097.2289,1066.6193,35,0,918.4654,35,0,607.2219,35,0,80.4829,19.4648,0.0522,4253689,0.6102,0.6105,0.1855,0.8051
I00699,17,5036.0187,5330.0226,4964.0187,8768.8194,8776.9861,8766.8194,3802.8006,35,0,5328.8503,35,0,1888.8593,35,0,94.0811,5.9046,0.0143,26103055,0.8818,0.8819,0.068,0.9409
I00699,18,15672.8647,15987.8406,15606.8647,32129.7878,32139.3325,32127.7878,16520.923,32,0,25125.632,32,0,5103.0829,32,0,96.0918,3.8901,0.0181,371617560,0.922,0.9222,0.0643,0.961
I00699,19,5366.4762,5650.3864,5296.4762,9983.0187,9991.1304,9981.0187,4684.5425,34,0,6839.5621,34,0,2123.0308,34,0,94.6475,5.3284,0.0242,29578824,0.8932,0.8934,0.0871,0.9466
I00699,20,4359.3066,4640.3994,4287.3066,6934.7314,6942.5395,6932.7314,2645.4247,35,0,3143.2813,35,0,1328.0506,35,0,92.7894,7.1898,0.0207,14912520,0.856,0.8562,0.0772,0.928
I00699,21,10456.7236,10754.4572,10382.7236,14973.2734,14981.3203,14971.2734,4588.5498,36,0,4392.2935,36,0,2383.4706,36,0,88.1384,11.8072,0.0544,47800900,0.7633,0.7637,0.137,0.8817
I00699,22,18028.7798,18369.2427,17954.7798,31029.3073,31038.509,31027.3073,13072.5276,36,0,14976.9829,36,0,4042.8409,36,0,93.4889,6.4653,0.0457,276889486,0.8702,0.8706,0.0898,0.9351
I00699,23,15559.8932,15897.855,15487.8932,26388.0899,26397.4777,26386.0899,10898.1967,35,0,18427.4296,35,0,6361.4209,35,0,93.2409,6.7405,0.0187,258189330,0.865,0.8652,0.0574,0.9325
I00699,24,9877.8497,10189.0008,9803.8497,16154.1397,16162.5491,16152.1397,6348.29,36,0,7265.6861,36,0,2915.348,36,0,92.1339,7.8455,0.0206,67939140,0.8429,0.8431,0.1041,0.9214
I00699,25,15759.5452,16062.4451,15685.5452,18857.4317,18865.6181,18855.4317,3169.8864,36,0,2853.1411,36,0,1969.0328,36,0,79.2645,20.7117,0.0238,71261841,0.5855,0.5857,0.1185,0.7928
I00699,26,1340.9336,1587.3401,1268.9336,1743.8361,1750.6807,1741.8361,472.9025,35,0,721.3887,35,0,345.666,35,0,88.4365,11.5499,0.0136,1281930,0.7689,0.769,0.041,0.8844
I00699,27,29815.4588,30152.1744,29741.4588,35084.9388,35094.0393,35082.9388,5341.48,36,0,5173.2257,36,0,3926.0373,36,0,79.3701,20.6087,0.0212,301943488,0.5876,0.5877,0.081,0.7938
I00699,28,13248.1215,13528.2417,13182.1215,16408.1325,16416.621,16406.1325,3224.0111,32,0,3425.7555,32,0,2314.1768,32,0,83.0395,16.9343,0.0262,73320324,0.6611,0.6612,0.0752,0.8305
I00699,29,4499.9328,4763.5054,4425.9328,6832.4824,6839.606,6830.4824,2404.5496,36,0,2133.2859,36,0,1101.552,36,0,89.5399,10.442,0.0181,9056418,0.791,0.7911,0.1704,0.8955
I00699,30,98230.5068,98592.0936,98156.5068,114218.1585,114227.9311,114216.1585,16059.6517,36,0,13399.5583,36,0,9476.5674,36,0,75.0499,24.8854,0.0647,2264758722,0.5016,0.502,0.1352,0.7508
I00699,31,21928.8769,22254.3477,21854.8769,37540.4159,37549.2124,37538.4159,15683.539,36,0,14888.9504,36,0,5978.7219,36,0,91.6783,8.2985,0.0232,267883725,0.8338,0.834,0.1872,0.9169
I00699,32,9080.8638,9415.0022,9006.8638,12171.8435,12180.8743,12169.8435,3162.9797,36,0,3870.6575,36,0,1989.4635,36,0,89.4002,10.586,0.0138,75203986,0.7881,0.7883,0.0311,0.8941
I00699,33,4813.1926,5180.687,4739.1926,6546.1393,6556.0716,6544.1393,1804.9467,36,0,3861.8387,36,0,1572.2341,36,0,91.9937,7.9956,0.0108,73532305,0.84,0.8401,0.0053,0.92
I00699,34,5790.1459,6121.6817,5716.1459,6997.5958,7006.5562,6995.5958,1279.4499,36,0,1460.8003,36,0,555.9774,36,0,86.6236,13.3359,0.0404,36197940,0.7329,0.7332,0.016,0.8664
I00699,35,20423.92,20774.9136,20349.92,25633.6861,25643.1724,25631.6861,5281.7661,36,0,6719.4098,36,0,3231.99,36,0,85.8633,14.1022,0.0346,267926360,0.7176,0.7179,0.0406,0.8588
I00699,36,17629.6662,17982.4825,17555.6662,21961.2085,21970.7441,21959.2085,4403.5424,36,0,4709.357,36,0,1910.8314,36,0,86.0311,13.9297,0.0392,229393118,0.721,0.7213,0.0316,0.8605
I00699,37,69501.0687,69868.3702,69427.0687,76085.0867,76095.0138,76083.0867,6656.018,36,0,6210.4031,36,0,4828.0142,36,0,72.6049,27.3096,0.0855,1473520390,0.453,0.4533,0.0583,0.7265
I00699,38,26946.296,27303.5354,26872.296,34510.3395,34519.9946,34508.3395,7636.0435,36,0,8260.2714,36,0,3951.9312,36,0,86.4871,13.4852,0.0277,441256624,0.73,0.7302,0.0485,0.865
