INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1382.7484,1625.7391,1308.7484,1675.9667,1682.534,1673.9667,365.2183,36,0,484.267,36,0,247.513,36,0,85.7937,14.178,0.0282,991956,0.7162,0.7164,0.0514,0.8581
I00699,2,405916.7779,406324.8609,405842.7779,451581.7751,451592.8044,451579.7751,45736.9973,36,0,40485.2166,36,0,30352.6198,36,0,71.5435,28.3693,0.0873,32777682886,0.4317,0.4321,0.1364,0.7159
I00699,3,6568.169,6856.9639,6494.169,7848.3919,7856.1972,7846.3919,1352.2229,36,0,1274.79,36,0,649.9189,36,0,81.3428,18.6048,0.0524,17435090,0.6274,0.6277,0.0666,0.8137
I00699,4,3381.9782,3652.7818,3307.9782,3972.8457,3980.1647,3970.8457,662.8675,36,0,659.5094,36,0,380.5639,36,0,81.8624,18.1052,0.0325,5141012,0.6376,0.6378,0.0528,0.8188
I00699,5,1422.5025,1539.6274,1386.5025,1475.6023,1482.1093,1473.6023,87.0998,17,0,89.2842,17,0,82.4723,17,0,70.509,29.0669,0.4241,807820,0.4144,0.4162,0.0273,0.7072
I00699,6,12673.1697,13074.5681,12599.1697,19812.1836,19823.0322,19810.1836,7211.0139,36,0,22426.4158,36,0,3559.0461,36,0,96.2623,3.7261,0.0116,575304541,0.9254,0.9255,0.0074,0.9627
I00699,7,12563.5049,12880.46,12489.5049,17082.9475,17091.5139,17080.9475,4591.4427,36,0,5218.6197,36,0,2927.5931,36,0,87.1645,12.8136,0.0219,81635400,0.7435,0.7437,0.0806,0.8718
I00699,8,20481.3679,20758.2692,20413.3679,24737.2263,24745.3704,24735.2263,4321.8584,33,0,3766.4662,33,0,2902.228,33,0,78.5097,21.4427,0.0476,99587520,0.5707,0.5709,0.1756,0.7853
I00699,9,12904.5385,13166.9934,12836.5385,16323.6678,16331.3871,16321.6678,3485.1294,33,0,3000.148,33,0,2090.918,33,0,80.7296,19.2272,0.0431,43104464,0.615,0.6153,0.1916,0.8075
I00699,10,30959.0769,31270.4336,30891.0769,43320.9242,43330.0818,43318.9242,12427.8474,33,0,12165.9919,33,0,6896.2744,33,0,87.1239,12.8489,0.0272,413684010,0.7428,0.743,0.1251,0.8714
I00699,11,16207.9646,16495.8796,16141.9646,24048.7191,24057.4438,24046.7191,7904.7545,32,0,8538.7919,32,0,4360.114,32,0,89.4031,10.5748,0.0221,142053750,0.7883,0.7885,0.1083,0.8941
I00699,12,15412.0708,15707.4859,15338.0708,20791.4277,20799.4119,20789.4277,5451.3569,36,0,4827.8381,36,0,2964.2995,36,0,83.7043,16.2543,0.0414,70983578,0.6745,0.6748,0.2037,0.8373
