INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",2964,2353,611,79.3860,20.6140
I00733,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",2745,1984,761,72.2769,27.7231
I00733,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",1674,1279,395,76.4038,23.5962
I00733,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",2869,1982,887,69.0833,30.9167
I00733,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",4537,2985,1552,65.7924,34.2076
I00733,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",1888,1263,625,66.8962,33.1038
I00733,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",4371,3105,1266,71.0364,28.9636
I00733,RBK,"WALSALL HEALTHCARE NHS TRUST",1652,1118,534,67.6755,32.3245
I00733,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",1483,1057,426,71.2744,28.7256
I00733,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",2057,1465,592,71.2202,28.7798
I00733,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",1441,1006,435,69.8126,30.1874
I00733,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",3166,2148,1018,67.8459,32.1541
I00733,RA3,"WESTON AREA HEALTH NHS TRUST",961,671,290,69.8231,30.1769
I00733,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",2285,1603,682,70.1532,29.8468
I00733,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",2838,1911,927,67.3362,32.6638
I00733,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1883,1378,505,73.1811,26.8189
I00733,RLQ,"WYE VALLEY NHS TRUST",1291,886,405,68.6290,31.3710
I00733,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",1054,714,340,67.7419,32.2581
I00733,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",3180,2152,1028,67.6730,32.3270
