INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,R1F,ISLE OF WIGHT NHS TRUST,844,0,267,267,0,31.6351,31.6351
I00721,R1H,BARTS HEALTH NHS TRUST,3810,283,687,710,7.4278,18.0315,18.6352
I00721,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2616,0,515,515,0,19.6865,19.6865
I00721,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1254,10,433,434,0.7974,34.5295,34.6093
I00721,RA3,WESTON AREA HEALTH NHS TRUST,960,0,261,261,0,27.1875,27.1875
I00721,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,979,0,334,334,0,34.1164,34.1164
I00721,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1804,44,407,438,2.439,22.561,24.2794
I00721,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1733,0,305,305,0,17.5995,17.5995
I00721,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1764,0,343,343,0,19.4444,19.4444
I00721,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2230,65,383,396,2.9148,17.1749,17.7578
I00721,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2741,0,743,743,0,27.1069,27.1069
I00721,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1416,0,313,313,0,22.1045,22.1045
I00721,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,1037,0,272,272,0,26.2295,26.2295
I00721,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1226,0,331,331,0,26.9984,26.9984
I00721,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1628,0,218,218,0,13.3907,13.3907
I00721,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1161,0,182,182,0,15.6761,15.6761
I00721,RBK,WALSALL HEALTHCARE NHS TRUST,1668,0,591,591,0,35.4317,35.4317
I00721,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2111,0,594,594,0,28.1383,28.1383
I00721,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2222,0,535,535,0,24.0774,24.0774
I00721,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1444,0,279,279,0,19.3213,19.3213
I00721,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1246,0,218,218,0,17.496,17.496
I00721,RC1,BEDFORD HOSPITAL NHS TRUST,1163,0,283,283,0,24.3336,24.3336
I00721,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1639,0,258,258,0,15.7413,15.7413
I00721,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,3148,0,676,676,0,21.474,21.474
I00721,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,983,0,176,176,0,17.9044,17.9044
I00721,RCF,AIREDALE NHS FOUNDATION TRUST,1053,0,288,288,0,27.3504,27.3504
I00721,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1462,55,214,220,3.762,14.6375,15.0479
