INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,2312.528,2497.468,2260.528,2915.265,2922.378,2913.265,652.7365,25,0,896.7496,25,0,460.8074,25,0,85.298,13.492,1.21,2986002,0.718,0.727,0.052,0.859032412
I00699,2,109239.122,109491.136,109187.122,127475.381,127485.074,127473.381,18286.2593,25,0,17061.6104,25,0,12532.0702,25,0,75.138,23.851,1.011,2494202687,0.513,0.518,0.179,0.756432458
I00699,3,3634.166,3819.308,3582.166,4681.417,4688.538,4679.417,1097.2512,25,0,1116.2355,25,0,397.6401,25,0,84.572,14.707,0.721,5505408,0.699,0.704,0.092,0.849322339
I00699,4,2981.2,3164.723,2929.2,3509.212,3516.271,3507.212,578.0125,25,0,533.9352,25,0,260.9701,25,0,80.529,18.242,1.229,3633116,0.623,0.631,0.061,0.811438583
I00699,5,2477.482,2526.697,2463.482,2672.167,2679.198,2670.167,206.6846,6,0,217.6874,6,0,188.2007,6,0,68.557,24.748,6.695,2517146,0.438,0.47,0.032,0.719041526
I00699,6,6508.156,6784.001,6456.156,9906.278,9916.887,9904.278,3448.1215,25,0,13014.0261,25,0,2009.8674,25,0,90.68,2.509,6.811,209664936,0.882,0.946,0.004,0.940855709
I00699,7,13908.928,14134.775,13856.928,18807.566,18816.252,18805.566,4948.6372,25,0,6044.0563,25,0,3543.6049,25,0,86.084,12.685,1.231,100657956,0.734,0.743,0.077,0.866991204
I00699,8,22851.826,23027.21,22809.826,28650.665,28659.017,28648.665,5838.8387,20,0,5327.4053,20,0,3917.2123,20,0,80.412,18.497,1.091,138972960,0.619,0.626,0.176,0.809579673
I00699,9,16154.562,16345.991,16106.562,20320.926,20328.902,20318.926,4212.3641,23,0,3811.2187,23,0,2776.4385,23,0,80.264,18.401,1.336,68469240,0.619,0.627,0.183,0.809314073
I00699,10,35279.901,35500.652,35231.901,47880.524,47889.722,47878.524,12646.6227,23,0,12589.146,23,0,8088.6201,23,0,85.452,13.767,0.781,485066660,0.717,0.722,0.131,0.858423233
I00699,11,19380.682,19575.043,19336.682,27318.633,27327.468,27316.633,7979.9513,21,0,9117.7657,21,0,5372.4681,21,0,87.243,11.92,0.837,181066008,0.753,0.76,0.106,0.876616637
I00699,12,14005.881,14209.183,13953.881,18721.573,18729.392,18719.573,4765.6914,25,0,4287.3341,25,0,2887.4687,25,0,82.753,16.561,0.686,55358254,0.662,0.666,0.217,0.830958632
I00699,13,23495.122,23696.637,23445.122,28457.415,28465.475,28455.415,5010.2929,24,0,4306.3876,24,0,3392.3471,24,0,77.24,22.102,0.658,114262742,0.551,0.555,0.23,0.775688264
I00699,14,10028.759,10225.775,9976.759,12743.622,12751.199,12741.622,2764.8631,25,0,2512.7358,25,0,1770.4007,25,0,81.677,17.58,0.743,28150612,0.641,0.646,0.173,0.820480457
I00699,15,81122.375,81356.603,81072.375,102489.352,102498.721,102487.352,21414.977,24,0,17682.6075,24,0,11958.6708,24,0,78.636,20.673,0.691,1507699248,0.58,0.584,0.233,0.789816946
I00699,16,4388.563,4543.476,4342.563,5546.133,5552.868,5544.133,1201.5703,22,0,1105.7402,22,0,751.7036,22,0,81.376,17.791,0.833,5294618,0.636,0.641,0.174,0.817923503
I00699,17,4968.708,5176.782,4918.708,8934.022,8942.345,8932.022,4013.3136,24,0,6443.6853,24,0,2161.4108,24,0,92.199,5.07,2.731,29991060,0.871,0.896,0.056,0.935648457
I00699,18,18536.844,18770.57,18488.844,36393.185,36402.923,36391.185,17902.3406,23,0,28810.917,23,0,6957.8196,23,0,94.939,3.775,1.287,501902708,0.912,0.924,0.058,0.955819231
I00699,19,5230.675,5416.072,5184.675,9245.956,9254.017,9243.956,4059.2811,22,0,5979.3887,22,0,2109.5867,22,0,93.159,5.452,1.389,25847528,0.877,0.889,0.083,0.938531665
I00699,20,4623.62,4827.579,4571.62,7495.472,7503.316,7493.472,2921.8517,25,0,3616.369,25,0,1516.0112,25,0,92.546,6.644,0.81,16908928,0.859,0.866,0.082,0.92951135
I00699,21,12478.591,12689.269,12426.591,16865.42,16873.523,16863.42,4436.8295,25,0,4305.9105,25,0,2624.4486,25,0,85.068,13.728,1.205,58099968,0.713,0.722,0.139,0.856698484
I00699,22,20912.667,21149.74,20860.667,34592.459,34601.577,34590.459,13729.7919,25,0,14578.8059,25,0,5189.0625,25,0,91.706,7.217,1.077,300176844,0.845,0.854,0.112,0.922447587
I00699,23,17913.01,18149.4,17863.01,29629.391,29638.846,29627.391,11764.3804,24,0,19857.5587,24,0,7535.8612,24,0,90.998,6.51,2.491,314140128,0.845,0.866,0.06,0.922439167
I00699,24,10953.546,11169.975,10901.546,16740.422,16748.747,16738.422,5836.8762,25,0,6301.6607,25,0,3126.6631,25,0,89.883,9.288,0.828,67012638,0.806,0.813,0.116,0.902976906
I00699,25,16868.08,17080.79,16816.08,19514.93,19523.111,19512.93,2696.8501,25,0,2552.8101,25,0,1871.368,25,0,75.94,23.265,0.794,74303194,0.527,0.531,0.112,0.763375879
I00699,26,25922.618,26157.338,25870.618,32268.31,32277.338,32266.31,6395.6918,25,0,6730.1938,25,0,4619.6943,25,0,82.194,16.898,0.908,257378016,0.653,0.659,0.089,0.826481175
I00699,27,31186.488,31421.418,31134.488,36328.892,36337.928,36326.892,5192.4041,25,0,4995.261,25,0,3779.4142,25,0,77.893,21.175,0.932,302035844,0.567,0.573,0.089,0.78359486
I00699,28,13378.01,13567.676,13332.01,15564.5,15572.746,15562.5,2230.4902,22,0,2350.5024,22,0,1826.5078,22,0,77.901,21.182,0.917,57726144,0.567,0.572,0.082,0.783594163
I00699,29,5549.098,5739.659,5497.098,8221.175,8228.504,8219.175,2722.0769,25,0,2479.7693,25,0,1392.2215,25,0,88.103,11.284,0.613,13296820,0.768,0.773,0.161,0.884091911
I00699,30,94109.188,94361.135,94057.188,112062.421,112072.112,112060.421,18003.2336,25,0,15390.2504,25,0,10879.12,25,0,76.262,22.712,1.026,2091521892,0.535,0.541,0.157,0.767748977
