INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,"ENGLAND",282723,201390,81333,71.2323,28.7677
I00733,R1F,"ISLE OF WIGHT NHS TRUST",819,531,288,64.8352,35.1648
I00733,R1H,"BARTS HEALTH NHS TRUST",3760,2997,763,79.7074,20.2926
I00733,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",2444,1832,612,74.9591,25.0409
I00733,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1286,854,432,66.4075,33.5925
I00733,RA3,"WESTON AREA HEALTH NHS TRUST",1028,705,323,68.5798,31.4202
I00733,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",947,640,307,67.5818,32.4182
I00733,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",1734,1328,406,76.5859,23.4141
I00733,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1788,1274,514,71.2528,28.7472
I00733,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1787,1192,595,66.7040,33.2960
I00733,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2239,1528,711,68.2448,31.7552
I00733,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2806,1996,810,71.1333,28.8667
I00733,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1343,1084,259,80.7148,19.2852
I00733,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",976,770,206,78.8934,21.1066
I00733,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1201,863,338,71.8568,28.1432
I00733,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",1705,1141,564,66.9208,33.0792
I00733,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1160,753,407,64.9138,35.0862
I00733,RBK,"WALSALL HEALTHCARE NHS TRUST",1551,1083,468,69.8259,30.1741
I00733,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",2322,1683,639,72.4806,27.5194
I00733,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",2220,1538,682,69.2793,30.7207
I00733,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1487,963,524,64.7613,35.2387
I00733,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1209,874,335,72.2911,27.7089
I00733,RC1,"BEDFORD HOSPITAL NHS TRUST",1183,832,351,70.3297,29.6703
I00733,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1662,1178,484,70.8785,29.1215
I00733,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",3193,2163,1030,67.7419,32.2581
I00733,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",892,626,266,70.1794,29.8206
I00733,RCF,"AIREDALE NHS FOUNDATION TRUST",1001,654,347,65.3347,34.6653
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1574,1086,488,68.9962,31.0038
