INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,"ENGLAND",7835,1343335,0.5832
I00731,R1F,"ISLE OF WIGHT NHS TRUST",7,2938,0.2383
I00731,R1H,"BARTS HEALTH NHS TRUST",128,20747,0.6170
I00731,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",68,11574,0.5875
I00731,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",68,12885,0.5277
I00731,RA3,"WESTON AREA HEALTH NHS TRUST",7,1602,0.4370
I00731,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",25,3588,0.6968
I00731,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",160,14941,1.0709
I00731,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",89,5141,1.7312
I00731,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",47,10397,0.4521
I00731,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",109,9249,1.1785
I00731,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",97,15760,0.6155
I00731,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",18,2055,0.8759
I00731,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",13,3044,0.4271
I00731,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",9,3876,0.2322
I00731,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",42,8472,0.4958
I00731,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",26,4286,0.6066
I00731,RBK,"WALSALL HEALTHCARE NHS TRUST",18,3797,0.4741
I00731,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",35,8366,0.4184
I00731,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",34,7054,0.4820
I00731,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",19,3860,0.4922
I00731,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",18,3410,0.5279
I00731,RC1,"BEDFORD HOSPITAL NHS TRUST",28,3520,0.7955
I00731,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",24,8167,0.2939
I00731,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",65,9552,0.6805
I00731,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",20,3933,0.5085
I00731,RCF,"AIREDALE NHS FOUNDATION TRUST",44,3239,1.3584
I00731,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",25,4992,0.5008
I00731,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",16,6472,0.2472
I00731,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",22,3562,0.6176
I00731,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",16,3673,0.4356
