INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1816.0115,1992.3758,1764.0115,2275.5507,2282.3339,2273.5507,509.5392,25,0,716.8431,25,0,362.1271,25,0,86.0942,13.625,0.2808,1712500,0.7247,0.7267,0.0583,0.8623
I00699,2,206043.9976,206313.3086,205991.9976,234228.5618,234238.9199,234226.5618,28234.5642,25,0,25581.1711,25,0,18560.6791,25,0,73.1575,25.9178,0.9247,8734851680,0.4724,0.4768,0.1522,0.7362
I00699,3,4599.8522,4793.1477,4547.8522,5819.8566,5827.2911,5817.8566,1270.0045,25,0,1316.9435,25,0,529.8577,25,0,84.0007,15.5513,0.448,9107136,0.6845,0.6876,0.0796,0.8422
I00699,4,3043.724,3231.7535,2991.724,3561.9765,3569.2084,3559.9765,568.2525,25,0,542.0229,25,0,286.286,25,0,81.0654,18.5665,0.3681,4199481,0.625,0.6273,0.0503,0.8125
I00699,5,2056.7511,2104.5022,2042.7511,2188.2008,2195.0224,2186.2008,143.4497,6,0,151.7119,6,0,137.2236,6,0,68.5875,26.6199,4.7926,1676154,0.4197,0.4408,0.0306,0.7098
I00699,6,7481.5995,7762.4125,7429.5995,11385.6513,11396.4518,11383.6513,3954.0517,25,0,14742.9593,25,0,2134.956,25,0,96.156,3.6959,0.1481,289278400,0.9246,0.926,0.0041,0.9623
I00699,7,13050.8398,13275.3633,12998.8398,17612.3143,17620.9499,17610.3143,4611.4745,25,0,5408.3085,25,0,3155.0434,25,0,86.7367,13.0025,0.2608,89210273,0.7373,0.7393,0.0761,0.8687
I00699,8,21811.8864,21984.954,21769.8864,26814.6446,26822.886,26812.6446,5042.7582,20,0,4466.0809,20,0,3383.7451,20,0,79.3684,20.1623,0.4693,118280645,0.5921,0.5949,0.1782,0.796
I00699,9,14271.1775,14443.0999,14227.1775,18075.7451,18083.5597,18073.7451,3846.5676,21,0,3384.9884,21,0,2403.7327,21,0,80.6507,18.8942,0.4551,52630724,0.6176,0.6204,0.1941,0.8088
I00699,10,33039.8698,33260.8888,32991.8698,46256.3714,46265.5805,46254.3714,13262.5016,23,0,13105.7285,23,0,7603.92,23,0,86.9888,12.694,0.3172,467128528,0.7429,0.7453,0.1274,0.8715
I00699,11,17574.6852,17768.0915,17530.6852,25534.9433,25543.7345,25532.9433,8002.2581,21,0,8869.9464,21,0,4805.3605,21,0,88.5722,11.1654,0.2624,160890758,0.7741,0.7761,0.1055,0.887
I00699,12,14664.3202,14870.5718,14612.3202,19967.9196,19975.8523,19965.9196,5353.5994,25,0,4830.7907,25,0,3108.9306,25,0,83.8856,15.7252,0.3892,65004184,0.6816,0.6843,0.209,0.8408
I00699,13,24558.5177,24762.1786,24508.5177,30233.1697,30241.3161,30231.1697,5722.652,24,0,4849.6593,24,0,3714.523,24,0,78.1688,21.2713,0.5598,131034275,0.569,0.5722,0.2293,0.7845
I00699,14,9940.9556,10138.7437,9888.9556,12900.6023,12908.2095,12898.6023,3009.6467,25,0,2711.9062,25,0,1840.0408,25,0,82.7681,16.8406,0.3914,29181996,0.6593,0.6619,0.174,0.8296
I00699,15,73052.236,73294.3507,73000.236,94741.2859,94750.598,94739.2859,21739.0499,25,0,17778.9727,25,0,11449.0557,25,0,80.0154,19.3994,0.5853,1306026445,0.6062,0.6097,0.2366,0.8031
I00699,16,4141.3315,4306.9737,4091.3315,5169.842,5176.4677,5167.842,1076.5105,24,0,935.0796,24,0,606.3554,24,0,80.2607,19.1735,0.5657,4483050,0.6109,0.6143,0.1764,0.8054
I00699,17,5133.1621,5347.9132,5081.1621,8947.1321,8955.3918,8945.1321,3863.97,25,0,5579.8293,25,0,1930.6174,25,0,93.8223,6.0254,0.1523,28670630,0.878,0.8793,0.0617,0.939
I00699,18,16748.2609,16961.2389,16704.2609,33907.0123,33916.6932,33905.0123,17200.7514,21,0,26517.6641,21,0,6057.3148,21,0,95.9242,3.8686,0.2073,439895828,0.9206,0.9225,0.0579,0.9603
I00699,19,5264.9588,5450.9908,5218.9588,9519.2908,9527.3791,9517.2908,4298.332,22,0,6326.837,22,0,2141.4516,22,0,94.232,5.4908,0.2772,27368208,0.8874,0.8899,0.0839,0.9437
I00699,20,4393.3188,4596.112,4341.3188,6883.9627,6891.7625,6881.9627,2540.6439,25,0,3070.8424,25,0,1395.6547,25,0,92.0122,7.7571,0.2307,14683770,0.8426,0.8445,0.0761,0.9213
I00699,21,11468.7898,11671.9426,11418.7898,16371.7045,16379.8306,16369.7045,4950.9147,24,0,4862.9081,24,0,2753.5435,24,0,87.6422,11.733,0.6248,56756420,0.7591,0.7639,0.138,0.8795
